aX,aY,aZ,gX,gY,gZ
0.728,0.041,0.397,-3.784,-18.921,18.677
0.793,0.046,0.474,-9.094,-5.127,13.123
0.888,0.032,0.511,-14.465,7.507,8.972
0.877,-0.016,0.482,-22.278,5.554,9.766
0.891,-0.131,0.484,-31.616,-5.493,11.169
0.913,-0.161,0.544,-39.185,-10.01,5.432
0.907,-0.157,0.647,-44.006,-4.639,-5.005
0.857,-0.158,0.822,-45.898,2.747,-11.841
0.833,-0.203,0.901,-43.152,8.972,-12.817
0.797,-0.244,0.98,-38.574,10.071,-14.954
0.721,-0.26,1.012,-35.4,6.47,-19.775
0.712,-0.286,0.963,-31.86,4.211,-26.611
0.696,-0.341,0.925,-29.785,4.822,-33.813
0.585,-0.3,0.979,-28.32,4.7,-36.621
0.496,-0.261,1.015,-24.841,2.625,-37.659
0.412,-0.274,1.062,-19.348,0.427,-37.903
0.356,-0.255,1.08,-13.245,-2.502,-37.17
0.361,-0.263,1.059,-8.545,-4.822,-40.649
0.374,-0.226,1.028,-5.493,-6.958,-44.922
0.323,-0.261,0.965,-1.099,-7.568,-44.617
0.306,-0.246,0.927,3.418,-6.531,-42.664
0.276,-0.255,0.918,8.484,-10.315,-34.973
0.103,-0.273,0.87,10.193,-21.057,-32.959
-0.02,-0.278,0.824,8.789,-23.743,-34.912
0.09,-0.302,0.822,10.62,-8.179,-34.729
0.345,-0.29,0.858,15.015,13.672,-33.081
0.491,-0.219,0.912,17.883,22.217,-28.198
0.513,-0.157,0.966,19.287,10.071,-19.226
0.503,-0.12,0.966,20.264,-11.963,-11.353
0.498,-0.082,0.96,23.132,-34.485,-7.874
0.483,-0.049,0.981,27.405,-52.124,-5.737
0.46,-0.035,0.977,31.738,-63.599,-1.953
0.407,-0.029,0.948,35.217,-68.665,1.404
0.365,-0.035,0.864,37.231,-68.298,3.662
0.332,-0.025,0.768,37.292,-61.707,6.958
0.365,0.004,0.737,35.522,-50.903,8.667
0.453,0.088,0.797,33.691,-37.964,7.812
0.545,0.197,0.953,32.593,-25.513,9.583
0.638,0.203,0.931,32.715,-19.409,15.564
0.565,0.112,0.775,30.64,-21.362,22.705
0.501,0.08,0.663,26.55,-19.836,24.109
0.546,0.106,0.608,24.536,-7.751,18.799
0.594,0.12,0.566,21.362,3.357,14.893
0.584,0.092,0.504,15.564,3.418,15.93
0.577,0.065,0.484,7.874,-1.526,17.151
0.617,0.052,0.488,1.77,-1.16,14.832
0.633,0.04,0.529,-3.967,2.686,10.62
0.727,0.028,0.655,-10.315,5.432,7.202
0.798,-0.005,0.704,-15.564,6.104,4.578
0.678,-0.118,0.688,-21.912,3.662,2.93
0.687,-0.22,0.745,-26.001,3.845,3.54
0.667,-0.331,0.849,-27.1,12.817,-0.488
0.749,-0.363,0.922,-26.001,25.024,-7.629
0.775,-0.323,1.014,-24.109,32.043,-13.306
0.668,-0.325,1.064,-24.536,30.823,-18.005
0.667,-0.359,1.043,-22.949,30.457,-20.264
0.66,-0.405,1.01,-20.813,31.494,-24.536
0.6,-0.41,1.031,-18.616,27.466,-31.006
0.559,-0.375,1.084,-14.893,17.822,-33.997
0.524,-0.346,1.12,-11.108,5.493,-35.522
0.474,-0.331,1.117,-7.08,-6.714,-36.621
0.371,-0.294,1.102,-2.38,-17.761,-37.354
0.285,-0.272,1.083,1.77,-23.804,-37.231
0.227,-0.267,1.06,5.554,-22.949,-36.133
0.216,-0.267,1.034,8.85,-15.32,-36.56
0.276,-0.312,0.934,11.902,-0.305,-40.344
0.466,-0.373,0.85,13.489,19.226,-45.898
0.522,-0.315,0.874,13.611,32.898,-50.964
0.355,-0.224,0.932,13.977,30.945,-48.34
0.28,-0.234,0.938,14.832,20.386,-40.649
0.376,-0.261,0.934,16.357,13.672,-37.598
0.472,-0.24,0.969,19.165,8.728,-37.842
0.469,-0.189,0.998,22.461,-3.845,-35.339
0.351,-0.144,0.997,24.536,-24.902,-29.663
0.198,-0.126,0.981,26.306,-43.457,-23.499
0.13,-0.149,0.949,29.175,-49.133,-19.165
0.139,-0.189,0.894,32.104,-42.908,-16.785
0.162,-0.188,0.843,33.203,-30.579,-15.015
0.151,-0.151,0.826,33.142,-16.907,-12.329
0.148,-0.132,0.789,32.898,-4.639,-7.751
0.222,-0.14,0.736,32.532,2.991,-2.991
0.345,-0.135,0.692,31.616,3.601,0.549
0.48,-0.122,0.683,29.785,-3.662,4.456
0.583,-0.108,0.712,27.405,-17.212,9.094
0.603,-0.094,0.741,24.902,-31.982,13.794
0.561,-0.12,0.754,22.095,-42.358,16.418
0.548,-0.094,0.81,19.043,-43.579,17.212
0.586,-0.079,0.804,17.151,-40.649,19.531
0.481,-0.141,0.685,15.808,-41.565,27.344
0.356,-0.181,0.656,12.512,-43.091,32.227
0.427,-0.166,0.639,9.399,-27.527,27.588
0.517,-0.189,0.618,6.531,2.197,19.592
0.668,-0.18,0.649,3.113,27.039,16.113
0.84,-0.135,0.664,-0.427,36.377,17.273
0.837,-0.149,0.64,-4.456,30.273,17.273
0.805,-0.208,0.644,-8.972,18.494,14.954
0.804,-0.269,0.64,-13.489,10.925,7.629
0.747,-0.357,0.624,-18.677,8.301,-1.221
0.779,-0.373,0.706,-21.851,8.606,-6.653
0.694,-0.411,0.763,-23.621,11.658,-13.062
0.669,-0.428,0.805,-25.085,17.212,-17.639
0.583,-0.453,0.826,-26.367,24.841,-23.437
0.575,-0.448,0.919,-25.452,31.189,-27.771
0.569,-0.433,1.004,-22.522,34.119,-30.823
0.531,-0.432,1.076,-19.348,31.128,-32.288
0.461,-0.431,1.106,-14.404,22.827,-31.921
0.382,-0.428,1.092,-8.423,12.939,-31.799
0.295,-0.429,1.067,-2.93,6.348,-32.227
0.238,-0.41,1.044,2.319,3.906,-32.898
0.187,-0.397,1.01,6.958,4.639,-32.654
0.17,-0.401,0.973,11.292,8.85,-31.738
0.185,-0.433,0.89,14.404,15.747,-31.189
0.267,-0.459,0.8,15.747,22.827,-31.494
0.323,-0.439,0.794,16.968,24.353,-30.579
0.267,-0.384,0.845,17.151,15.076,-26.245
0.175,-0.402,0.876,17.212,2.014,-17.944
0.245,-0.451,0.868,18.982,-4.639,-11.536
0.403,-0.454,0.862,21.179,-5.371,-11.047
0.484,-0.378,0.879,21.179,-11.23,-10.498
0.436,-0.315,0.874,20.508,-24.841,-4.15
0.332,-0.294,0.874,20.996,-38.269,3.479
0.27,-0.279,0.898,22.278,-43.335,7.08
0.27,-0.232,0.928,24.597,-41.016,6.653
0.324,-0.183,0.922,26.733,-35.645,7.568
0.373,-0.144,0.909,28.381,-29.846,11.047
0.414,-0.133,0.883,30.212,-24.963,13.367
0.467,-0.141,0.848,31.25,-20.386,13.794
0.541,-0.152,0.812,31.86,-16.602,13.428
0.603,-0.151,0.798,32.715,-16.052,13.611
0.608,-0.168,0.79,32.715,-19.714,16.296
0.607,-0.206,0.743,31.433,-26.611,18.982
0.609,-0.254,0.71,30.396,-33.02,19.348
0.58,-0.294,0.699,28.137,-37.842,19.226
0.577,-0.32,0.71,24.963,-42.358,19.348
0.581,-0.296,0.742,20.752,-45.776,20.63
0.492,-0.286,0.73,16.602,-49.316,24.231
0.322,-0.328,0.646,11.78,-51.27,27.588
0.214,-0.399,0.62,6.165,-41.443,26.428
0.308,-0.36,0.689,0.793,-14.709,19.47
0.497,-0.3,0.714,-1.221,16.846,13.123
0.593,-0.298,0.702,-2.747,33.264,14.343
0.59,-0.349,0.687,-6.287,32.41,18.86
0.643,-0.417,0.73,-8.728,27.893,18.127
0.663,-0.407,0.784,-11.108,24.109,10.01
0.697,-0.387,0.869,-12.451,21.423,0.732
0.718,-0.372,0.916,-11.658,20.935,-4.456
0.678,-0.422,0.951,-10.498,19.531,-8.85
0.667,-0.477,0.958,-9.094,16.541,-14.282
0.625,-0.526,0.982,-6.958,12.512,-21.118
0.532,-0.549,1.013,-5.615,7.019,-26.55
0.398,-0.538,1.027,-4.333,3.296,-31.128
0.3,-0.534,1.012,-1.892,3.906,-35.034
0.252,-0.535,0.994,1.282,7.935,-37.842
0.226,-0.517,0.984,5.188,11.719,-38.818
0.216,-0.499,0.965,9.399,12.146,-37.537
0.204,-0.498,0.921,13.611,9.216,-35.461
0.212,-0.5,0.863,16.479,4.822,-32.898
0.202,-0.491,0.809,18.433,0.427,-30.273
0.168,-0.464,0.809,19.47,-4.761,-25.574
0.082,-0.441,0.798,20.447,-8.789,-18.982
-0.014,-0.451,0.794,21.362,-9.216,-13.062
-0.005,-0.485,0.778,22.339,-3.174,-9.46
0.094,-0.498,0.755,23.804,6.47,-7.996
0.213,-0.459,0.747,24.414,10.559,-4.944
0.276,-0.406,0.778,23.926,2.869,1.77
0.311,-0.371,0.819,23.01,-11.841,11.353
0.379,-0.358,0.852,21.851,-26.184,18.066
0.419,-0.33,0.891,21.79,-36.011,20.02
0.377,-0.267,0.929,21.606,-40.161,20.874
0.327,-0.247,0.949,23.621,-39.795,23.071
0.357,-0.26,0.915,26.55,-36.255,25.818
0.425,-0.289,0.864,28.625,-31.921,26.062
0.445,-0.319,0.794,27.649,-27.039,25.452
0.408,-0.313,0.761,23.376,-21.667,27.039
0.424,-0.301,0.686,19.897,-17.944,28.687
0.476,-0.3,0.64,17.395,-16.296,28.625
0.521,-0.329,0.623,13.611,-17.212,31.067
0.461,-0.364,0.58,8.728,-23.865,37.354
0.356,-0.345,0.553,1.953,-32.898,42.48
0.399,-0.344,0.606,-4.272,-32.349,41.138
0.489,-0.354,0.638,-9.766,-20.569,36.194
0.434,-0.371,0.616,-16.846,-7.263,34.668
0.459,-0.349,0.645,-24.048,3.845,34.973
0.531,-0.347,0.628,-27.771,17.517,30.762
0.605,-0.407,0.629,-31.189,28.076,24.658
0.685,-0.465,0.674,-34.668,30.945,20.996
0.694,-0.497,0.793,-37.048,29.907,17.883
0.773,-0.478,0.889,-37.903,29.114,12.512
0.793,-0.476,0.922,-37.292,29.114,4.517
