aX,aY,aZ,gX,gY,gZ
0.936,-0.068,0.576,-10.315,-15.259,-14.343
0.897,-0.102,0.609,-9.46,-19.104,-16.235
0.892,-0.104,0.647,-8.789,-19.531,-17.944
0.874,-0.1,0.678,-8.057,-16.479,-21.301
0.843,-0.116,0.707,-6.47,-12.756,-23.682
0.805,-0.157,0.722,-3.784,-10.376,-25.757
0.783,-0.196,0.711,-1.648,-6.531,-27.344
0.791,-0.195,0.681,-0.549,-1.099,-29.114
0.794,-0.2,0.654,-0.183,4.089,-31.189
0.796,-0.23,0.618,1.099,6.348,-31.616
0.796,-0.247,0.593,2.38,4.944,-31.311
0.78,-0.244,0.597,3.479,0.488,-32.349
0.759,-0.265,0.623,5.127,-6.592,-33.081
0.72,-0.288,0.653,6.348,-13.489,-32.837
0.647,-0.303,0.665,7.019,-18.127,-32.166
0.575,-0.311,0.665,7.141,-19.409,-30.212
0.517,-0.324,0.652,6.958,-17.456,-28.137
0.484,-0.327,0.636,6.592,-13.123,-26.123
0.455,-0.326,0.615,5.92,-9.155,-22.949
0.421,-0.337,0.597,5.249,-7.141,-19.226
0.376,-0.35,0.571,4.333,-6.653,-14.404
0.364,-0.358,0.55,3.357,-6.836,-9.46
0.353,-0.367,0.539,1.526,-7.446,-4.517
0.349,-0.363,0.551,-0.305,-9.033,0.854
0.376,-0.343,0.605,-2.197,-10.254,6.531
0.434,-0.323,0.664,-3.235,-8.545,10.254
0.497,-0.3,0.702,-3.54,-4.944,12.39
0.539,-0.311,0.711,-2.991,-1.77,14.465
0.518,-0.33,0.714,-3.235,0.854,17.578
0.451,-0.335,0.694,-4.395,5.066,20.508
0.411,-0.354,0.661,-5.92,13.062,22.156
0.403,-0.328,0.634,-8.057,24.475,24.231
0.439,-0.297,0.607,-10.01,35.767,25.757
0.508,-0.281,0.58,-10.986,43.335,28.137
0.588,-0.266,0.565,-11.169,44.067,31.494
0.659,-0.246,0.568,-10.986,37.476,35.095
0.695,-0.227,0.588,-10.803,26.001,38.513
0.744,-0.189,0.658,-10.986,12.39,42.236
0.944,-0.126,0.879,-9.338,3.845,43.518
1.012,-0.031,0.955,-5.31,9.521,39.795
1.024,-0.099,0.925,0.732,19.592,33.508
0.931,-0.17,0.839,5.554,21.973,33.203
0.845,-0.161,0.719,5.92,21.301,35.645
0.882,-0.115,0.6,4.883,26.001,33.63
1.014,-0.093,0.503,2.441,30.701,27.283
