aX,aY,aZ,gX,gY,gZ
0.59,-0.328,0.741,0.366,0.244,-0.854
0.59,-0.328,0.74,0.427,0.366,-0.671
0.589,-0.329,0.738,0.488,0.244,-0.793
0.588,-0.328,0.738,0.61,0.305,-0.854
0.589,-0.328,0.739,0.61,0.488,-0.916
0.589,-0.328,0.738,0.366,0.61,-0.793
0.591,-0.328,0.738,0.427,0.61,-0.854
0.592,-0.328,0.738,0.671,0.671,-0.916
0.592,-0.328,0.738,0.732,0.427,-0.854
0.592,-0.329,0.738,0.549,0.244,-0.854
0.591,-0.328,0.74,0.732,0.061,-0.854
0.59,-0.329,0.742,0.366,-0.122,-0.854
0.589,-0.328,0.742,0.427,0.122,-0.732
0.588,-0.33,0.742,0.549,0.305,-0.793
0.587,-0.331,0.739,0.671,0.488,-0.732
0.589,-0.329,0.738,0.61,0.671,-0.732
0.592,-0.33,0.739,0.488,0.732,-0.732
0.59,-0.328,0.739,0.427,0.732,-0.61
0.589,-0.326,0.739,0.366,0.732,-0.61
0.591,-0.326,0.737,0.488,0.427,-0.671
0.592,-0.328,0.737,0.732,0.244,-0.732
0.591,-0.326,0.737,0.61,0.122,-0.793
0.591,-0.328,0.738,0.549,0.0,-0.854
0.589,-0.328,0.737,0.488,-0.061,-0.671
0.588,-0.329,0.74,0.61,-0.061,-0.61
0.588,-0.33,0.74,0.854,0.366,-0.732
0.589,-0.332,0.738,0.854,0.61,-0.793
0.591,-0.332,0.736,0.793,0.793,-0.671
0.591,-0.33,0.737,0.793,0.732,-0.488
0.591,-0.332,0.739,0.61,0.488,-0.671
0.589,-0.333,0.738,0.732,0.61,-0.732
0.59,-0.332,0.738,0.671,0.61,-0.61
0.592,-0.332,0.738,0.671,0.732,-0.732
0.592,-0.332,0.737,0.488,0.793,-0.854
0.592,-0.331,0.738,0.427,0.671,-0.671
0.592,-0.331,0.739,0.183,0.488,-0.61
0.59,-0.331,0.74,0.427,0.366,-0.671
0.588,-0.333,0.742,0.244,0.305,-0.793
0.587,-0.332,0.741,0.122,0.427,-0.61
0.586,-0.33,0.739,-0.061,0.488,-0.732
0.588,-0.33,0.738,0.122,0.732,-0.61
0.594,-0.33,0.74,0.244,0.916,-0.61
0.59,-0.33,0.736,0.183,0.732,-0.793
0.6,-0.33,0.729,0.061,0.427,-0.854
0.596,-0.33,0.734,-0.183,-0.061,-0.854
0.587,-0.332,0.744,-0.183,-0.61,-0.793
0.581,-0.334,0.748,-0.183,-0.61,-0.549
0.582,-0.335,0.742,-0.244,0.061,-0.61
0.581,-0.332,0.742,-0.366,0.793,-0.793
0.59,-0.334,0.733,-0.183,1.526,-0.671
0.599,-0.328,0.729,-0.122,1.831,-0.671
0.601,-0.329,0.728,-0.244,1.526,-0.916
0.594,-0.328,0.733,-0.366,0.427,-0.732
0.589,-0.331,0.737,-0.061,0.0,-0.671
0.588,-0.331,0.736,0.0,0.061,-0.793
0.591,-0.331,0.737,0.061,0.61,-0.732
0.595,-0.333,0.736,0.0,0.977,-0.732
0.596,-0.334,0.739,-0.061,0.977,-0.793
0.595,-0.333,0.741,-0.122,0.671,-0.549
0.592,-0.334,0.741,0.122,0.549,-0.427
0.589,-0.334,0.737,0.122,0.244,-0.549
0.589,-0.334,0.735,0.183,0.183,-0.488
0.59,-0.333,0.735,0.061,0.549,-0.488
0.59,-0.33,0.732,0.0,1.099,-0.549
0.593,-0.331,0.732,0.0,1.099,-0.488
0.591,-0.329,0.734,0.122,0.854,-0.305
0.591,-0.328,0.733,0.305,0.488,-0.305
0.594,-0.327,0.733,0.366,0.427,-0.549
0.592,-0.327,0.734,0.305,0.549,-0.732
0.591,-0.328,0.735,0.305,0.061,-0.732
0.588,-0.328,0.735,0.366,0.061,-0.671
0.588,-0.33,0.738,0.61,0.183,-0.549
0.591,-0.33,0.74,0.488,0.427,-0.488
0.594,-0.332,0.74,0.488,0.793,-0.61
0.595,-0.334,0.736,0.61,0.61,-0.488
0.594,-0.335,0.732,0.61,0.305,-0.305
0.595,-0.334,0.734,0.488,0.183,-0.549
0.591,-0.333,0.735,0.305,0.061,-0.61
0.591,-0.333,0.735,0.183,0.0,-0.549
0.592,-0.332,0.735,0.305,-0.061,-0.488
0.592,-0.334,0.738,0.366,-0.122,-0.427
0.588,-0.333,0.738,0.183,0.061,-0.427
0.589,-0.332,0.739,0.061,0.305,-0.427
0.59,-0.333,0.737,0.122,0.366,-0.549
0.591,-0.333,0.735,0.122,0.61,-0.732
0.591,-0.332,0.735,0.305,0.427,-0.61
0.594,-0.33,0.732,0.183,0.061,-0.549
0.594,-0.33,0.733,0.0,-0.244,-0.671
0.587,-0.331,0.738,0.061,-0.305,-0.732
0.586,-0.33,0.737,0.183,-0.244,-0.732
0.588,-0.331,0.734,0.305,0.122,-0.732
0.591,-0.332,0.733,0.305,0.366,-0.732
0.592,-0.334,0.735,0.366,0.244,-0.671
0.588,-0.333,0.737,0.488,0.061,-0.488
0.589,-0.334,0.736,0.61,0.0,-0.427
0.589,-0.332,0.735,0.732,0.366,-0.549
0.593,-0.331,0.735,0.793,0.549,-0.549
0.593,-0.333,0.738,0.732,0.61,-0.549
0.59,-0.333,0.733,0.61,0.244,-0.671
0.59,-0.333,0.733,0.732,0.183,-0.671
0.591,-0.333,0.732,0.793,0.183,-0.671
0.592,-0.333,0.733,0.916,0.549,-0.793
0.596,-0.333,0.732,0.793,0.549,-0.549
0.598,-0.335,0.733,0.793,0.488,-0.61
0.591,-0.337,0.736,0.671,0.122,-0.61
0.586,-0.335,0.736,0.549,-0.061,-0.427
0.587,-0.331,0.735,0.549,0.122,-0.671
0.591,-0.326,0.735,0.427,0.61,-0.854
0.598,-0.333,0.734,0.427,0.977,-0.854
0.597,-0.338,0.732,0.671,0.977,-0.61
0.597,-0.335,0.735,0.61,0.244,-0.427
0.591,-0.336,0.742,0.671,-0.244,-0.488
0.587,-0.334,0.75,0.793,-0.183,-0.732
0.593,-0.336,0.748,0.671,0.488,-0.916
0.593,-0.342,0.745,0.732,1.16,-1.038
0.589,-0.342,0.739,0.549,1.16,-0.793
0.586,-0.341,0.733,0.793,0.916,-0.61
0.584,-0.341,0.728,0.732,1.16,-0.793
0.585,-0.339,0.727,0.732,1.77,-0.916
0.594,-0.334,0.727,0.671,2.441,-0.854
0.603,-0.329,0.723,0.671,2.563,-0.671
0.605,-0.331,0.719,0.671,1.77,-0.732
0.6,-0.335,0.722,0.549,0.488,-0.549
0.591,-0.332,0.729,0.732,-0.427,-0.549
0.586,-0.328,0.732,0.427,-0.488,-0.61
0.588,-0.329,0.732,0.366,0.305,-0.732
0.593,-0.333,0.729,0.61,0.916,-0.732
0.595,-0.333,0.73,0.488,1.038,-0.61
0.594,-0.332,0.73,0.427,0.793,-0.366
0.593,-0.333,0.731,0.61,0.366,-0.305
0.594,-0.335,0.729,0.671,0.366,-0.427
0.597,-0.337,0.729,0.488,0.366,-0.671
0.598,-0.337,0.728,0.793,0.122,-0.793
0.595,-0.337,0.732,0.61,-0.244,-0.671
0.592,-0.336,0.738,0.671,-0.488,-0.549
0.591,-0.337,0.74,0.732,-0.366,-0.671
0.588,-0.336,0.736,0.488,-0.183,-0.732
0.59,-0.336,0.734,0.671,0.183,-0.916
0.596,-0.334,0.734,0.61,0.671,-0.916
0.6,-0.335,0.73,0.366,1.038,-1.099
0.604,-0.336,0.728,0.244,0.916,-1.038
0.605,-0.337,0.729,0.0,0.061,-0.977
0.605,-0.342,0.724,-0.183,-0.916,-0.977
0.602,-0.347,0.725,-0.366,-2.014,-1.038
0.581,-0.342,0.741,-0.549,-2.869,-0.977
0.563,-0.336,0.749,-0.488,-2.808,-0.854
0.568,-0.339,0.747,-0.244,-1.343,-1.099
0.58,-0.342,0.741,-0.122,0.427,-1.221
0.593,-0.34,0.734,-0.122,1.587,-0.916
0.601,-0.341,0.728,-0.122,1.709,-0.549
0.601,-0.342,0.725,-0.183,0.854,-0.549
0.598,-0.34,0.727,-0.549,0.0,-0.549
0.597,-0.338,0.731,-0.488,-0.549,-0.854
0.595,-0.337,0.733,-0.427,-0.732,-0.916
0.592,-0.336,0.734,-0.549,-1.038,-1.221
0.588,-0.337,0.735,-0.549,-1.038,-0.916
0.586,-0.336,0.733,-0.427,-0.793,-0.793
0.585,-0.335,0.733,-0.366,-0.488,-0.732
0.585,-0.336,0.732,-0.122,0.0,-0.793
0.588,-0.335,0.733,0.122,0.305,-0.854
0.591,-0.335,0.731,0.366,0.488,-0.61
0.595,-0.337,0.731,0.305,0.488,-0.488
0.596,-0.338,0.729,0.122,0.305,-0.61
0.594,-0.339,0.728,0.122,0.244,-0.488
0.595,-0.339,0.73,0.366,0.122,-0.427
0.594,-0.341,0.732,0.366,0.0,-0.427
0.591,-0.34,0.733,0.366,-0.183,-0.305
0.59,-0.34,0.734,0.366,-0.244,-0.427
0.587,-0.338,0.733,0.244,-0.244,-0.549
0.588,-0.337,0.733,0.427,0.061,-0.488
0.588,-0.337,0.734,0.61,0.183,-0.427
0.589,-0.337,0.736,0.549,0.61,-0.366
0.592,-0.336,0.736,0.732,0.427,-0.305
0.593,-0.339,0.74,0.793,0.366,-0.244
0.592,-0.339,0.736,0.427,-0.061,-0.366
0.587,-0.34,0.734,0.488,-0.183,-0.244
0.585,-0.34,0.733,0.61,-0.244,-0.427
0.588,-0.338,0.732,0.488,0.183,-0.549
0.59,-0.336,0.731,0.366,0.671,-0.732
0.595,-0.338,0.732,0.305,0.854,-0.671
0.598,-0.339,0.732,0.061,0.488,-0.549
0.597,-0.339,0.731,0.183,0.122,-0.366
0.593,-0.34,0.732,0.061,-0.122,-0.427
0.591,-0.341,0.734,0.061,-0.488,-0.305
0.588,-0.342,0.736,-0.183,-0.488,-0.244
0.587,-0.341,0.735,-0.305,-0.305,-0.427
0.586,-0.341,0.734,-0.305,-0.305,-0.427
0.587,-0.339,0.734,-0.305,-0.061,-0.671
0.587,-0.339,0.735,-0.366,0.0,-0.671
0.588,-0.338,0.734,-0.305,0.122,-0.671
0.59,-0.337,0.734,-0.122,0.061,-0.61
0.591,-0.336,0.731,-0.061,0.0,-0.671
0.591,-0.336,0.732,0.0,0.0,-0.671
0.591,-0.336,0.733,0.244,-0.122,-0.61
0.592,-0.336,0.734,0.183,-0.061,-0.427
0.591,-0.338,0.734,0.122,-0.183,-0.488
0.589,-0.338,0.734,0.122,-0.427,-0.427
0.587,-0.339,0.733,0.061,-0.366,-0.366
0.586,-0.339,0.733,0.244,-0.061,-0.488
0.588,-0.339,0.732,0.122,0.0,-0.488
0.591,-0.339,0.732,0.244,-0.061,-0.549
0.592,-0.339,0.732,0.122,-0.061,-0.427
0.593,-0.339,0.734,0.183,-0.122,-0.427
0.59,-0.339,0.731,0.183,-0.305,-0.427
0.588,-0.339,0.732,0.366,-0.183,-0.61
0.589,-0.34,0.733,0.488,-0.305,-0.549
0.589,-0.34,0.733,0.549,-0.183,-0.366
0.59,-0.338,0.733,0.61,-0.061,-0.427
0.59,-0.339,0.735,0.549,0.0,-0.366
0.59,-0.339,0.735,0.305,-0.122,-0.366
0.589,-0.34,0.734,0.488,-0.183,-0.366
0.588,-0.34,0.734,0.427,-0.244,-0.427
0.59,-0.34,0.734,0.427,-0.244,-0.549
0.589,-0.34,0.734,0.488,-0.549,-0.488
0.587,-0.34,0.733,0.305,-0.488,-0.549
0.585,-0.338,0.733,0.305,-0.488,-0.366
0.586,-0.339,0.733,0.366,-0.488,-0.366
0.586,-0.34,0.733,0.427,-0.305,-0.549
0.588,-0.34,0.733,0.305,-0.122,-0.61
0.588,-0.339,0.734,0.305,-0.122,-0.549
0.588,-0.338,0.732,0.244,-0.305,-0.61
0.589,-0.339,0.732,0.305,-0.366,-0.671
0.589,-0.339,0.732,0.488,-0.366,-0.793
0.59,-0.339,0.733,0.305,-0.366,-0.793
0.59,-0.34,0.734,0.366,-0.549,-0.732
0.588,-0.34,0.734,0.366,-0.732,-0.793
0.588,-0.34,0.735,0.244,-0.916,-0.671
0.588,-0.341,0.734,0.244,-0.977,-0.671
0.586,-0.34,0.735,0.244,-1.16,-0.793
0.586,-0.339,0.74,0.305,-1.221,-0.854
0.586,-0.341,0.739,0.244,-1.099,-0.854
0.586,-0.343,0.74,0.305,-0.793,-0.732
0.585,-0.342,0.739,0.244,-0.61,-0.61
0.585,-0.342,0.737,0.305,-0.244,-0.732
0.586,-0.343,0.735,0.427,0.0,-0.671
0.587,-0.342,0.735,0.366,0.061,-0.854
0.588,-0.342,0.734,0.305,0.061,-0.671
0.589,-0.342,0.734,0.122,-0.183,-0.61
0.588,-0.342,0.734,0.122,-0.244,-0.61
0.587,-0.343,0.734,0.183,-0.366,-0.61
0.585,-0.343,0.736,0.305,-0.549,-0.61
0.585,-0.342,0.737,0.244,-0.488,-0.671
0.585,-0.341,0.737,0.244,-0.244,-0.671
0.587,-0.341,0.736,0.183,-0.183,-0.61
0.588,-0.341,0.736,0.183,-0.183,-0.671
0.586,-0.34,0.737,0.244,-0.366,-0.61
0.585,-0.338,0.736,0.244,-0.244,-0.549
0.585,-0.338,0.735,0.183,-0.305,-0.488
0.584,-0.339,0.735,0.305,-0.366,-0.61
0.585,-0.339,0.735,0.122,-0.366,-0.549
0.585,-0.34,0.735,0.061,-0.366,-0.549
0.584,-0.34,0.736,0.122,-0.366,-0.488
0.585,-0.34,0.735,0.305,-0.488,-0.61
0.585,-0.342,0.735,0.427,-0.427,-0.61
0.584,-0.342,0.737,0.488,-0.305,-0.549
0.584,-0.342,0.737,0.305,-0.366,-0.488
0.584,-0.343,0.738,0.183,-0.366,-0.488
0.584,-0.342,0.738,0.305,-0.305,-0.488
0.585,-0.343,0.736,0.244,-0.183,-0.488
0.585,-0.342,0.737,0.305,-0.183,-0.488
0.586,-0.344,0.738,0.244,-0.244,-0.366
0.586,-0.343,0.738,-0.061,-0.305,-0.427
0.585,-0.342,0.739,0.122,-0.366,-0.549
0.584,-0.343,0.739,0.427,-0.366,-0.549
0.583,-0.343,0.738,0.305,-0.366,-0.61
0.583,-0.342,0.739,0.0,-0.427,-0.61
0.585,-0.343,0.74,-0.061,-0.366,-0.671
0.583,-0.34,0.738,-0.244,-0.183,-0.732
0.585,-0.34,0.738,-0.122,-0.244,-0.671
0.59,-0.341,0.736,-0.122,-0.488,-0.61
0.589,-0.345,0.736,0.061,-1.038,-0.427
0.581,-0.343,0.738,-0.183,-1.343,-0.366
0.578,-0.343,0.739,-0.183,-1.038,-0.549
0.579,-0.343,0.74,-0.122,-0.549,-0.488
0.58,-0.343,0.739,-0.183,-0.244,-0.488
0.582,-0.342,0.739,0.061,-0.183,-0.488
0.582,-0.341,0.737,0.0,-0.061,-0.366
0.583,-0.341,0.735,0.061,0.122,-0.549
0.585,-0.341,0.735,0.122,0.244,-0.671
