aX,aY,aZ,gX,gY,gZ
0.413,-0.257,-0.813,24.658,-40.161,-59.998
0.401,-0.255,-0.805,24.658,-36.255,-56.946
0.43,-0.265,-0.806,25.452,-31.311,-53.65
0.462,-0.282,-0.804,26.489,-26.794,-50.72
0.464,-0.29,-0.799,27.588,-22.339,-48.706
0.433,-0.323,-0.824,28.931,-17.212,-47.119
0.441,-0.35,-0.868,29.663,-13.733,-44.861
0.432,-0.372,-0.9,29.541,-12.085,-41.687
0.428,-0.376,-0.891,28.259,-12.146,-39.429
0.447,-0.356,-0.852,26.672,-13.855,-37.598
0.442,-0.342,-0.808,25.635,-16.174,-35.889
0.378,-0.358,-0.772,24.963,-21.423,-33.813
0.315,-0.354,-0.774,23.865,-27.161,-30.457
0.298,-0.361,-0.802,22.644,-30.212,-26.489
0.313,-0.377,-0.825,21.484,-31.006,-21.973
0.322,-0.384,-0.842,20.203,-31.189,-16.907
0.342,-0.382,-0.844,18.677,-29.114,-12.634
0.347,-0.388,-0.813,17.212,-25.391,-9.277
0.359,-0.377,-0.774,16.541,-21.118,-6.348
0.386,-0.352,-0.745,16.479,-16.541,-3.784
0.41,-0.349,-0.715,17.273,-12.146,-2.136
0.418,-0.354,-0.696,18.494,-10.559,-0.549
0.426,-0.362,-0.696,19.531,-11.353,0.916
0.429,-0.364,-0.716,20.813,-12.451,1.892
0.461,-0.354,-0.739,21.423,-12.634,2.441
0.499,-0.36,-0.749,21.729,-11.658,2.93
0.542,-0.373,-0.741,21.851,-10.437,2.319
0.596,-0.365,-0.725,21.301,-9.766,0.977
0.613,-0.363,-0.717,20.752,-11.292,-0.61
0.631,-0.348,-0.684,20.874,-12.817,-2.625
0.651,-0.338,-0.639,21.545,-13.794,-4.15
0.674,-0.328,-0.604,22.949,-15.747,-6.287
0.717,-0.308,-0.599,24.963,-18.799,-8.85
0.701,-0.321,-0.656,26.55,-22.766,-10.559
0.669,-0.357,-0.757,27.771,-25.879,-11.047
0.695,-0.388,-0.846,27.954,-27.649,-10.803
0.682,-0.392,-0.883,26.062,-29.846,-11.047
0.623,-0.37,-0.91,23.682,-30.396,-12.085
0.629,-0.308,-0.858,22.278,-25.269,-12.939
0.719,-0.235,-0.771,22.339,-13.367,-15.076
0.801,-0.176,-0.673,23.254,-1.831,-17.456
0.967,-0.088,-0.6,25.33,4.395,-22.217
1.021,-0.074,-0.591,28.076,3.906,-28.198
0.959,-0.104,-0.641,31.311,-2.808,-33.264
0.867,-0.13,-0.713,33.936,-11.536,-37.354
0.799,-0.17,-0.796,35.706,-18.921,-41.138
0.762,-0.222,-0.862,36.743,-24.597,-43.701
0.76,-0.25,-0.883,36.072,-27.283,-44.983
0.753,-0.262,-0.845,34.668,-25.33,-45.898
0.732,-0.261,-0.801,33.447,-19.775,-47.974
0.715,-0.26,-0.767,32.532,-13.123,-49.927
0.684,-0.264,-0.738,31.677,-6.714,-50.781
0.638,-0.265,-0.724,30.518,-2.136,-50.11
0.582,-0.266,-0.737,29.541,0.305,-48.523
0.546,-0.265,-0.755,28.015,2.197,-45.532
0.517,-0.26,-0.764,26.55,3.174,-41.016
0.477,-0.259,-0.781,24.414,0.732,-35.522
0.418,-0.257,-0.791,21.301,-3.845,-29.236
0.378,-0.247,-0.794,17.883,-7.751,-22.095
0.346,-0.251,-0.783,13.977,-10.071,-14.282
0.343,-0.259,-0.774,10.071,-10.681,-6.287
0.336,-0.288,-0.77,6.897,-9.46,1.221
0.35,-0.311,-0.749,4.395,-4.761,9.399
0.39,-0.325,-0.708,2.747,2.991,16.846
0.451,-0.323,-0.661,2.075,11.414,23.499
0.479,-0.321,-0.634,2.197,18.005,29.358
0.502,-0.32,-0.654,2.441,21.973,34.119
0.542,-0.31,-0.697,2.686,25.208,38.147
0.573,-0.319,-0.728,2.075,27.344,40.955
0.611,-0.327,-0.758,0.671,27.344,42.419
0.61,-0.333,-0.811,-1.038,24.658,43.64
0.562,-0.355,-0.865,-3.357,21.545,44.189
0.573,-0.363,-0.881,-6.165,20.264,44.556
0.541,-0.39,-0.872,-8.789,18.433,45.044
0.556,-0.393,-0.839,-11.169,16.602,45.715
0.606,-0.378,-0.794,-12.207,15.991,46.936
0.618,-0.358,-0.754,-12.451,15.503,48.645
0.622,-0.362,-0.705,-11.963,16.357,49.927
0.662,-0.346,-0.66,-10.803,19.836,50.354
0.693,-0.317,-0.655,-9.46,21.851,50.415
0.677,-0.325,-0.713,-9.216,20.935,50.171
0.67,-0.345,-0.754,-10.01,17.517,50.232
0.651,-0.356,-0.774,-11.841,11.963,50.293
0.645,-0.346,-0.775,-14.709,5.615,49.377
0.665,-0.33,-0.775,-17.517,1.404,47.913
0.735,-0.304,-0.729,-19.775,0.061,46.509
0.773,-0.294,-0.682,-20.996,0.427,43.884
0.798,-0.28,-0.645,-21.179,1.892,40.344
0.828,-0.241,-0.604,-20.081,4.822,36.316
0.852,-0.166,-0.578,-17.944,10.071,30.457
0.926,-0.099,-0.584,-14.709,15.198,22.522
0.889,-0.102,-0.642,-11.108,15.93,14.465
0.814,-0.126,-0.739,-8.484,11.963,8.545
0.76,-0.135,-0.841,-7.385,5.798,3.967
0.733,-0.127,-0.908,-8.301,0.061,-0.488
0.725,-0.127,-0.927,-9.583,-5.92,-4.211
0.697,-0.135,-0.911,-10.376,-11.353,-6.531
0.631,-0.157,-0.882,-10.925,-14.099,-8.362
0.566,-0.177,-0.859,-10.132,-12.207,-9.888
0.534,-0.186,-0.837,-8.911,-6.897,-11.597
0.506,-0.192,-0.825,-7.629,-0.549,-13.184
0.505,-0.202,-0.816,-5.615,6.775,-14.16
0.516,-0.205,-0.8,-3.418,13.184,-15.015
0.507,-0.199,-0.807,-1.587,16.907,-15.869
0.476,-0.189,-0.838,-0.183,18.005,-16.968
0.444,-0.171,-0.881,0.488,16.968,-16.724
0.421,-0.161,-0.917,0.366,15.503,-15.991
0.421,-0.159,-0.924,-0.366,13.062,-14.343
0.428,-0.154,-0.892,-1.526,11.292,-12.39
0.421,-0.143,-0.838,-1.831,11.169,-10.925
0.358,-0.158,-0.806,-1.465,10.864,-9.277
0.273,-0.181,-0.813,-0.916,10.681,-7.08
0.239,-0.212,-0.83,-0.793,12.207,-3.601
0.236,-0.248,-0.842,-0.61,13.55,0.549
0.236,-0.279,-0.855,-0.732,13.855,5.615
0.248,-0.293,-0.848,-1.038,14.832,10.864
0.296,-0.291,-0.822,-1.221,17.7,15.625
0.312,-0.299,-0.802,-0.671,20.203,19.348
0.323,-0.306,-0.795,-0.244,21.484,22.644
0.348,-0.314,-0.808,0.366,21.179,25.452
0.338,-0.312,-0.841,0.732,19.348,28.137
0.344,-0.33,-0.872,0.793,18.311,29.785
0.349,-0.351,-0.891,0.916,18.005,31.677
0.374,-0.376,-0.904,0.549,17.578,32.959
0.413,-0.383,-0.917,-0.061,17.334,34.18
0.432,-0.389,-0.929,-0.916,16.907,35.095
0.484,-0.392,-0.916,-2.136,16.479,35.034
0.526,-0.402,-0.884,-3.357,14.893,34.546
0.562,-0.398,-0.865,-4.7,11.841,32.898
0.59,-0.379,-0.844,-5.615,9.338,30.518
0.591,-0.361,-0.833,-5.981,7.568,27.71
0.57,-0.348,-0.844,-6.226,5.981,25.024
0.562,-0.352,-0.872,-6.836,4.578,22.339
0.569,-0.369,-0.894,-8.789,2.197,19.897
0.599,-0.379,-0.897,-11.475,-2.197,17.822
0.605,-0.388,-0.892,-14.099,-8.423,15.564
0.631,-0.375,-0.851,-16.052,-14.404,12.939
0.652,-0.348,-0.796,-16.907,-18.616,9.644
0.639,-0.341,-0.758,-16.479,-20.752,6.226
0.626,-0.341,-0.742,-14.832,-20.996,3.296
0.628,-0.339,-0.778,-13.184,-18.738,0.183
0.627,-0.324,-0.814,-11.475,-14.832,-2.869
0.642,-0.278,-0.827,-10.315,-9.949,-6.287
0.684,-0.202,-0.82,-9.705,-6.348,-10.559
0.738,-0.142,-0.809,-9.033,-3.662,-15.93
0.744,-0.126,-0.813,-7.935,-3.845,-21.484
0.717,-0.136,-0.84,-7.202,-7.385,-26.672
0.673,-0.15,-0.89,-6.47,-13.489,-30.945
0.623,-0.17,-0.928,-5.554,-19.775,-34.485
0.568,-0.177,-0.926,-5.371,-24.109,-36.987
0.537,-0.173,-0.903,-4.944,-24.658,-39.001
0.523,-0.173,-0.883,-3.967,-20.813,-40.71
0.514,-0.178,-0.862,-2.686,-15.381,-42.053
0.512,-0.191,-0.857,-1.465,-10.315,-43.152
0.504,-0.205,-0.856,0.122,-5.737,-43.64
0.453,-0.214,-0.849,1.526,-2.38,-43.701
0.414,-0.213,-0.834,2.747,0.061,-43.457
0.412,-0.211,-0.833,3.967,2.747,-41.992
0.374,-0.206,-0.848,5.127,4.517,-39.49
0.319,-0.208,-0.878,5.859,3.845,-36.377
0.277,-0.216,-0.909,5.676,1.831,-32.227
0.263,-0.22,-0.929,4.944,0.061,-26.855
0.249,-0.236,-0.915,3.479,-0.366,-20.935
0.266,-0.246,-0.869,1.587,-0.366,-14.587
0.291,-0.256,-0.836,0.122,-0.061,-8.606
0.3,-0.281,-0.805,-0.671,1.526,-3.296
0.335,-0.293,-0.788,-0.793,4.578,1.282
0.378,-0.311,-0.784,-0.488,8.423,5.188
0.376,-0.329,-0.803,0.061,11.597,8.118
0.376,-0.352,-0.825,0.427,14.221,10.681
0.396,-0.376,-0.852,0.427,16.113,13.245
0.385,-0.396,-0.889,-0.061,15.381,15.503
0.372,-0.402,-0.898,-0.916,13.611,17.639
0.355,-0.403,-0.89,-2.014,11.108,20.081
0.361,-0.401,-0.876,-3.357,7.874,22.766
0.376,-0.392,-0.875,-5.127,4.517,25.879
0.398,-0.377,-0.857,-7.263,2.136,28.625
0.428,-0.384,-0.827,-8.545,0.671,30.884
0.484,-0.386,-0.779,-9.46,0.427,32.349
0.527,-0.38,-0.74,-9.399,0.366,33.264
0.563,-0.377,-0.698,-8.362,0.549,33.142
0.582,-0.333,-0.675,-6.47,1.709,32.043
0.547,-0.328,-0.714,-4.822,2.441,31.433
0.562,-0.372,-0.804,-3.967,2.014,31.677
0.607,-0.401,-0.869,-5.127,-0.671,32.227
0.651,-0.409,-0.891,-7.874,-5.798,31.311
0.663,-0.401,-0.872,-11.047,-12.024,28.442
0.703,-0.37,-0.816,-12.939,-14.709,24.841
0.736,-0.346,-0.725,-13.306,-13.123,20.569
0.758,-0.34,-0.656,-12.146,-9.644,15.137
0.794,-0.338,-0.624,-10.132,-7.874,9.277
0.812,-0.335,-0.605,-7.629,-9.094,2.808
0.799,-0.301,-0.61,-5.005,-11.963,-3.54
0.769,-0.253,-0.62,-2.258,-14.343,-9.827
0.798,-0.208,-0.635,0.549,-14.709,-16.846
0.767,-0.21,-0.681,3.662,-14.709,-22.705
0.731,-0.209,-0.758,5.981,-15.686,-27.71
0.704,-0.211,-0.84,7.324,-15.93,-31.677
0.675,-0.21,-0.875,7.446,-15.381,-35.522
0.631,-0.219,-0.878,7.507,-14.954,-38.574
0.606,-0.216,-0.874,7.874,-13.367,-39.734
0.591,-0.219,-0.843,8.85,-9.521,-40.466
0.568,-0.224,-0.814,9.766,-5.188,-41.016
0.546,-0.217,-0.801,10.925,-2.869,-40.771
0.536,-0.228,-0.815,12.024,-1.953,-40.039
0.528,-0.244,-0.831,12.329,-1.404,-38.818
0.511,-0.251,-0.858,12.207,-1.16,-37.781
0.51,-0.255,-0.886,11.597,0.488,-37.048
0.5,-0.249,-0.887,10.498,3.845,-36.377
0.444,-0.239,-0.867,8.85,5.615,-35.461
0.367,-0.247,-0.844,7.385,2.869,-33.325
0.318,-0.25,-0.834,5.859,-2.075,-29.663
0.294,-0.271,-0.822,4.944,-6.531,-24.475
0.294,-0.289,-0.808,3.723,-10.437,-17.7
0.304,-0.302,-0.797,2.991,-12.329,-10.498
0.328,-0.312,-0.802,2.991,-10.498,-4.028
0.371,-0.321,-0.809,3.296,-4.944,0.854
0.43,-0.329,-0.816,3.662,2.38,5.371
0.401,-0.345,-0.821,4.395,9.155,8.667
0.39,-0.365,-0.822,5.188,15.32,11.353
0.417,-0.377,-0.839,5.188,19.287,14.465
0.407,-0.392,-0.848,4.517,18.921,16.724
0.381,-0.394,-0.831,3.784,15.991,18.494
0.379,-0.393,-0.81,2.869,13.0,20.081
0.418,-0.393,-0.794,1.892,9.644,22.278
0.434,-0.402,-0.791,0.977,5.432,24.536
0.439,-0.399,-0.79,0.0,2.258,25.879
0.459,-0.387,-0.793,-1.099,0.549,26.917
0.48,-0.382,-0.786,-2.197,0.549,27.771
0.526,-0.37,-0.773,-2.38,1.892,28.076
0.545,-0.366,-0.773,-2.075,3.174,28.076
0.573,-0.359,-0.797,-2.136,4.15,27.649
0.61,-0.349,-0.81,-2.075,5.676,27.222
0.579,-0.359,-0.853,-2.93,5.127,27.1
0.565,-0.39,-0.875,-4.944,2.625,27.344
0.588,-0.397,-0.86,-6.653,-0.366,27.405
0.603,-0.396,-0.838,-8.911,-4.883,27.039
0.642,-0.388,-0.8,-11.108,-9.766,25.574
0.706,-0.357,-0.709,-12.39,-13.428,22.766
0.74,-0.33,-0.632,-12.329,-13.977,17.822
0.73,-0.328,-0.601,-11.108,-12.695,11.78
0.762,-0.312,-0.584,-8.24,-10.864,6.409
0.771,-0.281,-0.601,-5.371,-9.094,0.427
0.783,-0.242,-0.643,-2.502,-6.836,-6.287
0.775,-0.229,-0.701,0.305,-4.7,-13.489
0.737,-0.23,-0.755,2.258,-4.822,-18.555
0.702,-0.231,-0.801,3.418,-7.141,-22.034
0.687,-0.228,-0.843,4.089,-10.315,-25.146
0.685,-0.224,-0.848,4.272,-13.062,-27.649
0.668,-0.218,-0.819,4.7,-15.442,-29.602
0.632,-0.225,-0.786,5.859,-15.442,-31.616
0.606,-0.232,-0.764,7.568,-12.024,-33.813
0.567,-0.235,-0.759,9.521,-6.897,-35.645
0.534,-0.233,-0.775,11.353,-2.625,-36.926
0.511,-0.246,-0.814,12.451,0.61,-37.537
0.507,-0.253,-0.851,13.0,3.052,-36.865
0.516,-0.254,-0.874,12.634,4.456,-35.828
0.532,-0.26,-0.878,11.658,5.127,-34.851
0.515,-0.255,-0.857,10.803,5.859,-33.997
0.468,-0.241,-0.833,10.315,6.897,-33.447
0.412,-0.229,-0.834,9.766,6.897,-31.921
0.361,-0.229,-0.844,9.216,4.578,-28.564
0.322,-0.242,-0.86,8.118,1.404,-24.109
0.309,-0.264,-0.879,6.775,-0.916,-18.677
0.331,-0.293,-0.873,5.249,-0.854,-13.062
0.337,-0.309,-0.843,4.15,0.916,-7.629
0.351,-0.324,-0.809,3.296,3.357,-2.93
0.357,-0.333,-0.788,3.052,5.981,1.831
0.376,-0.349,-0.79,3.357,8.24,6.897
0.385,-0.347,-0.797,3.235,9.888,11.536
0.369,-0.36,-0.797,3.54,11.353,14.893
0.368,-0.363,-0.796,3.662,12.939,17.578
0.373,-0.362,-0.81,3.418,14.221,20.569
0.355,-0.376,-0.843,2.563,15.076,23.56
0.383,-0.38,-0.871,1.099,15.625,26.55
0.398,-0.381,-0.889,-0.732,14.587,29.175
0.393,-0.378,-0.904,-3.113,12.146,31.982
0.413,-0.371,-0.898,-5.615,10.437,35.034
0.465,-0.368,-0.87,-7.812,9.399,37.537
0.526,-0.358,-0.843,-9.766,7.996,39.185
0.541,-0.349,-0.817,-10.681,6.653,40.039
0.551,-0.353,-0.778,-10.681,7.507,39.673
0.595,-0.339,-0.759,-10.071,9.399,38.452
0.599,-0.335,-0.793,-9.766,7.996,37.17
0.615,-0.358,-0.817,-10.132,4.822,36.011
0.63,-0.376,-0.809,-10.559,0.549,34.607
0.64,-0.375,-0.764,-11.536,-5.005,32.471
0.665,-0.349,-0.709,-11.841,-10.315,29.297
0.659,-0.343,-0.68,-10.864,-12.695,25.696
0.7,-0.342,-0.671,-9.399,-11.536,22.217
0.74,-0.345,-0.664,-7.69,-9.521,18.25
0.772,-0.348,-0.678,-6.165,-9.155,13.489
0.795,-0.335,-0.689,-5.066,-10.681,8.118
0.785,-0.312,-0.691,-3.662,-12.146,2.625
0.741,-0.274,-0.686,-1.892,-12.817,-2.441
0.717,-0.238,-0.678,0.244,-11.841,-7.568
0.696,-0.224,-0.708,2.38,-10.193,-12.268
0.662,-0.22,-0.759,4.089,-10.315,-16.418
0.648,-0.207,-0.802,4.883,-11.841,-19.775
0.639,-0.2,-0.827,5.371,-12.817,-22.949
0.63,-0.2,-0.845,5.798,-13.855,-25.757
0.615,-0.205,-0.862,6.531,-13.367,-27.283
0.626,-0.207,-0.84,7.141,-10.864,-28.381
0.609,-0.227,-0.808,8.118,-7.385,-30.029
0.573,-0.234,-0.802,9.583,-3.662,-31.921
0.568,-0.238,-0.803,11.597,0.671,-33.02
