aX,aY,aZ,gX,gY,gZ
0.957,0.453,0.582,-1.831,-32.715,-19.104
0.889,0.452,0.67,-0.488,-35.4,-25.452
0.844,0.443,0.732,1.221,-27.771,-31.555
0.821,0.427,0.764,4.15,-15.442,-31.86
0.927,0.345,0.734,7.08,-1.648,-31.494
1.025,0.329,0.689,7.751,8.118,-33.813
1.061,0.328,0.652,7.568,10.437,-37.537
1.025,0.273,0.57,8.789,8.728,-38.757
0.901,0.197,0.455,8.606,5.676,-38.574
0.802,0.186,0.365,6.47,4.7,-40.405
0.745,0.156,0.337,3.479,7.996,-42.786
0.636,0.159,0.333,-0.244,12.634,-43.701
0.595,0.053,0.317,-2.991,14.587,-45.593
0.587,0.059,0.349,-5.676,12.451,-45.715
0.598,0.038,0.407,-7.69,8.423,-46.753
0.551,0.043,0.5,-6.897,2.563,-37.659
0.49,0.01,0.555,-4.7,-6.226,-27.405
0.367,-0.023,0.543,-3.479,-13.306,-20.63
0.322,-0.036,0.519,-2.93,-15.259,-15.015
0.282,-0.042,0.501,-2.686,-13.428,-6.836
0.23,-0.079,0.498,-2.747,-11.841,1.16
0.265,-0.043,0.569,-3.052,-9.827,8.911
0.319,-0.012,0.636,-2.38,-4.211,13.123
0.369,-0.0,0.676,-1.343,2.502,17.822
0.494,0.025,0.681,0.732,9.033,24.475
0.568,0.038,0.665,2.38,12.695,28.931
0.66,0.006,0.671,3.906,11.292,31.433
0.75,0.038,0.697,5.432,11.292,35.217
0.765,0.061,0.672,5.554,11.78,37.537
0.726,0.056,0.63,5.737,10.986,40.649
0.749,0.053,0.623,6.592,10.742,45.105
0.816,0.087,0.612,6.348,14.221,45.837
0.901,0.127,0.588,5.31,20.752,43.579
0.937,0.185,0.536,4.761,22.461,43.335
0.96,0.188,0.567,6.348,11.292,46.265
0.648,0.24,0.489,6.287,-2.808,51.086
0.421,0.168,0.39,2.747,-11.597,55.786
0.296,0.168,0.168,-0.916,-3.845,60.242
0.534,0.192,0.1,-9.644,11.047,59.143
1.143,0.475,0.292,-16.663,19.043,56.885
1.458,0.687,0.373,-21.667,15.32,43.762
1.334,0.62,0.584,-18.738,-10.559,38.208
1.114,0.506,0.703,-9.094,-40.71,49.683
1.015,0.465,0.709,-7.629,-50.293,47.546
0.989,0.545,0.641,-11.536,-32.104,32.104
1.031,0.635,0.613,-15.625,-4.883,17.273
1.095,0.696,0.567,-16.785,16.052,12.268
0.99,0.64,0.469,-15.625,25.818,9.46
0.925,0.589,0.428,-14.465,26.917,4.456
1.047,0.611,0.451,-13.672,25.391,-3.967
1.157,0.637,0.489,-12.878,19.897,-13.55
1.236,0.598,0.516,-10.01,7.812,-18.738
1.229,0.588,0.526,-6.104,-7.08,-20.203
1.137,0.518,0.535,-3.174,-19.897,-25.574
1.049,0.521,0.584,-0.977,-25.024,-31.494
0.947,0.507,0.649,0.305,-22.583,-36.072
0.907,0.458,0.677,3.601,-12.207,-39.551
0.995,0.417,0.659,6.104,2.075,-44.8
1.083,0.411,0.663,6.47,12.024,-50.171
1.069,0.38,0.644,7.996,12.939,-52.795
0.906,0.319,0.573,9.888,9.644,-50.964
0.723,0.26,0.462,10.437,9.521,-49.194
0.683,0.187,0.39,8.484,16.174,-51.086
0.706,0.178,0.318,5.188,25.391,-53.589
0.623,0.178,0.257,1.404,25.635,-54.81
0.573,0.069,0.268,1.16,14.771,-55.725
0.595,0.011,0.345,1.343,4.883,-51.331
0.541,0.025,0.43,-0.244,-2.075,-45.288
0.369,0.014,0.471,-1.77,-9.644,-36.438
0.246,-0.05,0.469,-2.38,-15.869,-26.733
0.211,-0.091,0.462,-3.357,-16.846,-19.897
0.207,-0.064,0.47,-5.432,-15.381,-14.099
0.301,-0.025,0.554,-6.226,-16.724,-5.554
0.429,0.017,0.632,-5.127,-19.226,1.099
0.49,0.056,0.659,-3.662,-21.606,6.165
0.539,0.046,0.678,-1.099,-22.705,12.512
0.612,0.048,0.701,0.916,-21.118,18.005
0.547,0.041,0.667,1.953,-18.372,20.996
0.492,0.026,0.641,2.258,-13.733,25.146
0.495,0.007,0.582,2.319,-3.296,29.907
0.504,0.033,0.555,1.831,10.071,33.813
0.559,0.07,0.535,-0.122,21.79,36.865
0.6,0.102,0.523,-1.465,28.015,40.771
0.803,0.165,0.595,-2.258,30.64,43.701
1.049,0.224,0.597,-1.648,33.691,41.138
1.211,0.288,0.635,-0.793,28.503,38.879
1.065,0.356,0.6,0.977,10.315,42.542
0.802,0.253,0.502,3.113,-9.827,48.035
0.61,0.202,0.383,3.357,-14.343,52.246
0.569,0.242,0.258,-2.075,-0.854,48.584
0.637,0.303,0.183,-10.071,16.663,41.992
1.074,0.409,0.326,-14.587,26.978,40.833
1.502,0.62,0.519,-14.954,26.306,36.743
1.414,0.634,0.534,-13.611,8.606,26.611
1.136,0.572,0.509,-9.277,-19.897,29.48
0.984,0.524,0.474,-5.676,-36.682,32.349
0.968,0.518,0.46,-7.935,-31.372,18.982
1.014,0.657,0.46,-13.794,-14.526,2.319
1.084,0.7,0.435,-15.686,-1.526,-4.395
1.026,0.617,0.388,-13.977,0.854,-5.92
1.019,0.567,0.404,-13.123,-0.366,-9.094
1.043,0.587,0.489,-12.756,-2.808,-16.907
1.01,0.577,0.591,-10.315,-9.521,-22.888
0.949,0.55,0.671,-5.371,-18.494,-24.963
0.82,0.458,0.697,-0.671,-25.208,-28.564
0.771,0.482,0.775,3.113,-24.536,-32.104
0.847,0.523,0.868,6.287,-13.489,-37.781
0.936,0.461,0.837,10.681,4.333,-41.443
1.041,0.399,0.77,15.015,14.587,-41.077
1.07,0.381,0.68,15.991,12.878,-42.236
1.025,0.363,0.598,16.785,6.714,-43.884
0.976,0.341,0.54,16.418,2.197,-45.593
0.915,0.291,0.488,15.381,3.906,-48.889
0.817,0.2,0.384,12.085,10.315,-53.101
0.653,0.138,0.219,7.324,14.343,-50.354
0.681,0.163,0.229,3.235,10.925,-48.523
0.764,0.108,0.306,-0.671,6.409,-61.401
0.665,0.143,0.379,-3.174,2.869,-63.354
0.626,0.055,0.432,-1.221,-1.526,-52.49
0.531,0.03,0.456,1.587,-6.531,-40.649
0.466,0.001,0.465,0.305,-11.475,-37.781
0.412,-0.007,0.491,-0.793,-14.526,-32.41
0.326,-0.062,0.491,0.61,-18.677,-22.644
0.219,-0.099,0.476,1.709,-23.682,-13.428
0.154,-0.12,0.517,2.136,-26.001,-5.188
0.213,-0.095,0.611,2.869,-24.414,1.221
0.282,-0.049,0.668,3.296,-19.958,7.324
0.329,-0.017,0.713,4.333,-14.893,15.564
0.358,0.022,0.733,5.737,-8.179,22.949
0.45,0.014,0.696,6.775,0.305,27.527
0.448,0.045,0.625,7.629,10.559,32.715
0.404,0.025,0.539,6.836,17.09,39.551
