aX,aY,aZ,gX,gY,gZ
-0.053,0.111,0.934,-15.869,-21.118,-31.921
-0.161,0.15,0.986,-14.526,-15.015,-30.396
-0.162,0.151,1.019,-12.146,-2.808,-28.198
-0.062,0.128,1.035,-8.789,9.277,-21.484
0.029,0.144,1.037,-6.165,17.212,-13.306
0.112,0.17,1.0,-4.517,20.63,-8.972
0.211,0.188,0.934,-3.54,20.813,-6.958
0.328,0.179,0.859,-3.784,17.09,-4.15
0.42,0.164,0.797,-5.92,8.85,-1.343
0.451,0.147,0.769,-9.888,-2.441,1.343
0.381,0.151,0.773,-14.526,-13.855,3.296
0.265,0.107,0.795,-18.86,-22.217,4.761
0.21,0.012,0.829,-21.973,-25.208,6.958
0.191,-0.119,0.886,-23.621,-24.658,9.46
0.174,-0.227,0.977,-24.109,-22.217,13.245
0.186,-0.294,1.074,-22.217,-17.151,17.395
0.211,-0.351,1.134,-19.226,-9.949,20.996
0.276,-0.401,1.145,-17.212,-3.174,24.841
0.371,-0.444,1.159,-14.343,0.488,28.015
0.41,-0.46,1.183,-10.376,-0.732,30.273
0.386,-0.474,1.172,-6.409,-5.066,32.593
0.369,-0.509,1.08,-2.441,-7.263,35.4
0.398,-0.515,1.035,1.343,-5.188,36.438
0.466,-0.481,1.042,5.066,-1.953,35.645
0.369,-0.447,0.991,7.263,-2.319,36.743
0.233,-0.422,0.902,8.362,-2.869,40.161
0.334,-0.383,0.87,10.62,1.587,39.795
0.55,-0.331,0.909,14.099,8.24,33.386
0.54,-0.28,0.919,16.724,8.118,28.748
0.49,-0.247,0.897,18.127,2.075,29.175
0.505,-0.204,0.849,19.043,-0.793,28.015
0.588,-0.13,0.82,20.386,1.404,19.958
0.705,-0.058,0.779,22.278,4.944,9.399
0.797,-0.005,0.761,22.766,4.211,2.625
0.799,-0.003,0.739,20.203,-1.221,-0.854
0.753,-0.001,0.732,16.357,-6.287,-4.272
0.683,0.007,0.74,13.0,-4.761,-11.719
0.706,-0.014,0.727,10.254,3.174,-20.935
0.809,-0.027,0.696,6.836,11.658,-29.968
0.843,-0.003,0.714,3.54,13.306,-37.292
0.736,0.014,0.737,0.488,8.606,-41.199
0.624,0.046,0.779,-2.319,4.395,-41.748
0.518,0.055,0.8,-3.662,2.258,-43.762
0.442,0.049,0.789,-5.005,2.93,-46.265
0.52,0.092,0.791,-5.981,6.897,-44.8
0.507,0.1,0.806,-6.897,12.573,-44.189
0.39,0.111,0.833,-9.705,16.235,-43.762
0.279,0.131,0.873,-11.169,18.738,-40.283
0.164,0.141,0.934,-11.78,20.325,-36.194
0.039,0.177,0.979,-11.536,20.813,-32.715
0.007,0.186,1.003,-10.559,22.461,-27.893
0.022,0.172,1.029,-8.606,25.94,-21.545
0.054,0.171,1.026,-6.531,28.076,-15.32
0.086,0.178,1.006,-5.493,27.649,-10.376
0.125,0.161,0.975,-4.761,25.635,-6.531
0.157,0.126,0.935,-4.7,19.653,-2.625
0.216,0.094,0.905,-5.371,10.803,1.16
0.276,0.031,0.892,-7.202,1.16,5.31
0.291,-0.037,0.908,-9.644,-7.507,9.094
0.279,-0.098,0.939,-12.024,-14.465,12.207
