aX,aY,aZ,gX,gY,gZ
0.959,0.442,-0.038,13.367,-301.514,15.808
1.04,0.403,-0.083,1.099,-310.791,-3.235
1.172,0.32,-0.103,-11.23,-296.448,-20.691
1.157,0.207,-0.025,-21.484,-275.879,-36.377
1.249,0.12,0.151,-27.771,-243.835,-39.246
1.221,0.023,0.281,-29.419,-199.463,-36.316
1.07,-0.014,0.508,-26.672,-157.654,-35.461
0.909,0.001,0.707,-20.813,-123.108,-35.461
0.78,0.024,0.872,-11.78,-94.971,-31.677
0.694,0.005,0.98,-1.526,-73.12,-23.621
0.559,-0.001,1.009,7.263,-51.514,-14.038
0.412,0.085,0.853,12.451,-29.602,-4.089
0.384,0.128,0.641,14.465,-6.165,3.357
0.427,0.173,0.454,10.437,25.024,6.836
0.414,0.167,0.339,5.066,67.017,7.019
0.404,0.15,0.265,1.099,120.361,7.874
0.534,0.15,0.265,-0.061,179.321,9.033
0.589,0.17,0.292,-1.709,235.535,11.108
0.567,0.205,0.249,-4.456,290.649,13.611
0.663,0.288,0.164,-3.723,342.407,14.526
0.807,0.266,0.114,-1.465,385.498,13.489
0.829,0.215,0.002,-0.732,425.11,12.817
0.936,0.146,-0.154,1.099,457.703,12.695
1.039,0.107,-0.294,2.808,468.14,15.381
1.118,0.146,-0.556,0.671,450.317,17.944
1.139,0.126,-0.672,-6.287,416.87,16.968
1.134,0.258,-0.757,-11.047,377.686,18.677
1.219,0.204,-0.806,-17.578,342.468,12.024
1.28,0.223,-0.968,-22.4,307.678,13.184
1.564,0.251,-1.045,-30.273,258.545,13.0
1.602,0.143,-1.019,-38.269,192.383,10.071
1.503,0.203,-0.83,-44.678,118.958,5.371
1.234,0.279,-0.416,-47.974,58.044,-1.343
0.958,0.39,-0.026,-43.701,12.085,-7.629
0.792,0.552,0.286,-34.485,-23.315,-12.695
0.794,0.617,0.427,-22.644,-50.293,-17.09
0.959,0.575,0.35,-9.216,-75.195,-21.24
1.119,0.481,0.088,2.258,-109.985,-24.536
