aX,aY,aZ,gX,gY,gZ
0.856,0.597,0.692,28.87,32.654,-31.921
0.831,0.591,0.645,27.405,18.25,-35.278
0.674,0.57,0.63,23.254,5.798,-37.415
0.546,0.28,0.623,21.362,-2.319,-33.203
0.328,-0.059,0.656,30.457,-12.207,-0.671
0.22,0.59,0.619,45.593,-26.306,62.195
0.051,1.113,0.648,36.865,-41.504,52.002
-0.163,0.596,0.714,19.836,-36.438,-20.325
-0.081,0.54,0.718,13.794,-7.935,-44.434
0.234,0.612,0.745,11.108,15.747,-41.443
0.425,0.405,0.81,9.766,21.912,-50.72
0.556,0.586,0.836,9.216,16.541,-56.519
0.547,0.545,0.819,8.606,8.484,-64.392
0.432,0.274,0.789,8.423,2.808,-59.387
0.223,0.007,0.758,8.972,-2.319,-34.79
0.168,0.322,0.757,9.155,-8.789,-7.751
0.082,0.298,0.739,5.859,-7.141,-17.944
0.028,0.226,0.742,4.211,3.967,-31.555
0.104,0.321,0.753,3.235,16.602,-24.17
0.106,0.258,0.776,1.099,21.362,-13.733
0.083,0.19,0.797,-2.808,19.958,-12.756
0.148,0.168,0.8,-4.15,21.301,-17.212
0.248,0.218,0.779,-2.869,26.611,-19.287
0.318,0.237,0.75,-1.343,30.518,-15.32
0.356,0.226,0.753,-0.671,28.931,-5.615
0.374,0.209,0.77,-0.916,23.437,2.869
0.332,0.196,0.771,-2.014,17.334,7.263
0.333,0.203,0.772,-3.113,13.123,8.545
0.329,0.226,0.775,-3.906,12.024,9.827
0.247,0.208,0.739,-4.639,13.0,12.451
0.269,0.185,0.729,-5.615,15.198,17.761
0.297,0.228,0.659,-5.432,18.066,21.729
0.3,0.188,0.618,-6.042,15.686,20.569
0.329,0.176,0.614,-7.751,9.949,22.278
0.356,0.179,0.623,-9.583,4.456,28.259
0.317,0.191,0.662,-11.597,-1.404,32.593
0.49,0.271,0.758,-13.428,-5.493,35.522
0.584,0.382,0.742,-13.0,-5.432,34.119
0.65,0.486,0.766,-13.916,-9.094,31.799
0.703,0.453,0.886,-13.123,-18.494,31.677
0.713,0.479,0.997,-10.925,-30.273,35.461
0.659,0.55,1.108,-9.521,-38.635,35.767
0.634,0.578,1.179,-6.531,-38.147,31.372
0.645,0.646,1.207,-2.014,-29.968,26.917
0.635,0.682,1.189,3.601,-17.7,21.362
0.636,0.67,1.111,8.728,-3.723,14.526
0.647,0.66,1.033,12.634,9.155,7.568
0.611,0.629,0.967,16.418,18.677,0.0
0.614,0.585,0.932,19.775,22.217,-5.737
0.687,0.528,0.894,22.705,20.569,-11.292
0.739,0.523,0.84,23.254,15.564,-17.395
0.793,0.559,0.842,23.376,9.705,-23.804
0.813,0.573,0.821,25.024,4.272,-28.32
0.765,0.557,0.802,26.184,-2.502,-29.053
0.682,0.474,0.77,25.94,-11.047,-26.001
0.581,0.575,0.816,26.306,-19.348,-21.057
0.553,0.439,0.822,28.442,-21.179,-25.818
0.297,-0.784,0.691,40.222,-20.569,-7.751
0.183,0.688,0.598,61.157,-33.142,93.079
0.143,1.193,0.576,44.373,-50.232,55.786
-0.176,0.359,0.621,15.991,-43.457,-51.453
0.055,0.323,0.652,8.057,-12.573,-75.623
0.442,0.372,0.674,10.315,12.024,-54.81
0.508,0.37,0.743,4.639,11.658,-49.866
0.471,0.391,0.766,-1.465,2.93,-62.378
0.453,0.152,0.774,-3.662,-2.991,-67.444
0.258,0.018,0.794,0.488,-7.385,-40.894
0.066,-0.153,0.754,1.953,-16.968,-5.798
0.002,0.22,0.661,0.366,-25.391,10.498
-0.095,0.226,0.589,-5.127,-16.724,-12.39
-0.16,0.177,0.571,-9.949,4.761,-24.17
0.04,0.184,0.605,-11.475,26.611,-16.296
0.124,0.098,0.675,-14.771,35.522,-7.874
0.159,0.181,0.754,-21.851,34.851,-7.69
0.2,0.256,0.805,-24.475,34.18,-8.728
0.266,0.188,0.776,-20.325,32.898,-7.141
0.34,0.137,0.743,-17.029,27.649,1.343
0.377,0.151,0.74,-17.578,18.311,13.245
0.315,0.182,0.74,-19.043,9.583,21.729
0.304,0.223,0.749,-20.081,5.493,26.123
0.368,0.264,0.759,-20.325,6.348,28.687
0.328,0.259,0.735,-20.63,7.568,29.663
0.364,0.206,0.743,-23.193,7.568,32.043
0.337,0.215,0.721,-25.635,9.827,35.156
0.248,0.276,0.732,-29.175,14.587,35.156
0.219,0.285,0.752,-31.25,22.522,33.875
0.438,0.299,0.783,-28.198,27.405,35.217
0.452,0.309,0.815,-24.658,24.353,36.194
0.709,0.414,0.93,-24.719,15.015,39.917
0.796,0.496,0.874,-22.827,10.01,38.452
0.696,0.583,0.88,-24.902,4.089,32.959
0.735,0.473,0.977,-24.17,-4.333,32.654
0.67,0.501,1.073,-19.409,-12.024,35.95
0.585,0.629,1.164,-16.968,-18.616,35.889
0.569,0.619,1.182,-10.071,-16.785,31.189
0.569,0.603,1.093,-3.906,-8.911,27.832
0.491,0.596,0.969,-2.014,0.122,24.597
0.535,0.652,0.889,0.61,10.986,19.592
0.669,0.726,0.828,5.188,23.01,10.559
0.829,0.829,0.789,9.521,28.992,-1.831
0.849,0.669,0.777,12.756,24.536,-12.207
0.831,0.663,0.769,9.338,12.329,-10.071
0.648,0.563,0.767,9.949,-4.578,-5.92
0.416,0.502,0.779,9.399,-17.334,-5.493
0.469,0.653,0.78,7.08,-18.616,-2.808
0.655,0.772,0.748,13.977,-12.878,-6.897
0.731,0.706,0.802,20.264,-13.184,-24.048
0.538,0.419,0.839,26.123,-20.874,-40.649
0.213,0.09,0.79,32.898,-30.212,-32.104
0.42,0.802,0.833,28.992,-34.058,-0.122
0.541,0.486,0.816,26.184,-25.757,-14.832
0.379,0.001,0.799,26.55,-20.691,-25.208
0.408,0.147,0.719,37.17,-22.644,11.353
0.258,0.523,0.68,38.086,-32.288,37.72
-0.016,0.46,0.718,23.743,-35.4,6.531
-0.093,0.368,0.738,12.268,-16.174,-28.87
0.143,0.399,0.759,8.606,13.55,-39.612
0.348,0.366,0.778,7.141,33.142,-40.71
0.473,0.415,0.794,6.287,34.119,-40.466
0.51,0.376,0.807,6.897,21.973,-42.297
0.556,0.341,0.798,6.714,6.775,-40.283
0.597,0.336,0.837,4.822,-4.456,-38.635
0.576,0.357,0.864,3.784,-14.648,-37.537
0.478,0.36,0.894,2.563,-24.78,-38.757
0.284,0.249,0.927,1.526,-30.151,-38.757
0.026,0.064,0.916,1.16,-28.32,-35.278
-0.118,0.02,0.88,2.258,-19.531,-23.437
-0.194,0.058,0.847,2.197,-2.38,-11.902
-0.013,0.24,0.841,0.244,18.311,-5.615
0.17,0.309,0.833,1.831,38.574,-6.714
0.223,0.288,0.844,2.319,51.086,-7.69
0.258,0.291,0.835,2.075,55.725,-3.723
0.24,0.267,0.821,4.883,54.504,1.16
0.232,0.245,0.791,7.446,47.791,4.089
0.325,0.22,0.722,9.766,38.391,6.165
0.477,0.192,0.633,9.827,29.297,7.385
0.393,0.198,0.569,6.592,24.475,8.972
0.423,0.155,0.549,3.418,21.301,14.587
0.421,0.065,0.567,1.16,19.714,21.729
0.363,0.073,0.588,-2.136,15.442,25.696
0.294,0.096,0.628,-6.226,11.658,26.672
0.324,0.128,0.694,-7.568,10.986,30.029
0.474,0.184,0.731,-6.836,12.512,33.752
0.528,0.27,0.719,-6.836,16.541,33.447
0.636,0.371,0.755,-6.714,15.503,31.555
0.852,0.47,0.839,-3.296,5.493,31.25
0.938,0.503,0.926,1.16,-10.254,29.968
0.951,0.504,1.002,2.38,-29.358,27.161
0.897,0.516,1.09,2.075,-43.274,23.926
0.819,0.557,1.1,3.54,-47.607,19.165
0.726,0.583,1.07,4.7,-40.283,10.62
0.648,0.641,1.083,6.226,-23.56,1.587
0.59,0.657,1.066,12.146,-5.737,-5.981
0.507,0.571,1.002,17.517,7.568,-11.658
0.472,0.502,0.935,18.494,17.517,-13.794
0.536,0.488,0.845,21.24,25.879,-17.456
0.599,0.522,0.761,23.56,29.297,-24.963
0.66,0.528,0.713,24.414,26.123,-29.663
0.767,0.526,0.707,23.987,16.357,-28.32
0.734,0.479,0.699,23.437,1.892,-26.489
0.601,-0.289,0.637,24.902,-13.428,-19.043
0.366,-0.013,0.653,43.945,-32.043,52.979
0.415,1.078,0.54,51.88,-52.307,99.548
0.044,0.724,0.562,28.381,-61.523,22.766
-0.044,0.475,0.629,10.742,-43.64,-31.677
0.247,0.393,0.72,5.554,-15.869,-36.926
0.342,0.327,0.83,0.977,-3.296,-36.011
0.351,0.369,0.925,-4.883,-0.854,-46.509
0.466,0.354,0.999,-6.287,1.648,-56.885
0.594,0.472,1.032,-2.625,3.906,-55.42
0.611,0.496,1.064,-0.122,1.16,-56.519
0.561,0.067,1.095,1.282,-5.737,-60.608
0.103,-0.245,0.974,7.69,-12.756,-33.142
-0.125,-0.137,0.827,13.55,-17.09,14.038
-0.036,0.188,0.641,13.367,-9.033,23.56
-0.215,0.245,0.54,3.54,7.324,-7.263
0.001,0.285,0.502,-3.296,28.32,-20.752
0.198,0.223,0.532,-6.042,37.292,-15.625
0.249,0.184,0.613,-12.268,28.748,-11.475
0.32,0.19,0.644,-17.151,16.541,-17.883
0.321,0.2,0.611,-20.508,9.827,-25.757
0.355,0.178,0.602,-21.606,7.629,-22.949
0.418,0.142,0.654,-20.996,5.859,-8.972
0.37,0.126,0.724,-21.362,-0.732,3.723
0.293,0.131,0.779,-23.315,-7.996,10.803
0.23,0.142,0.808,-23.682,-8.118,14.954
0.244,0.167,0.838,-22.583,-1.648,19.165
0.197,0.132,0.836,-21.79,7.874,22.949
0.177,0.067,0.851,-23.071,18.433,29.236
0.105,0.151,0.798,-23.376,31.677,37.659
0.195,0.228,0.724,-20.02,41.626,40.894
0.319,0.181,0.71,-17.212,42.847,40.344
0.51,0.194,0.789,-16.541,34.546,45.41
0.776,0.317,0.915,-16.296,23.804,49.805
1.003,0.486,0.951,-14.771,14.038,45.837
0.963,0.65,0.82,-15.564,6.592,37.903
0.873,0.574,0.935,-16.174,-6.409,37.781
0.751,0.457,0.998,-14.038,-22.583,42.175
0.637,0.548,1.054,-12.634,-34.119,41.809
0.482,0.569,1.055,-9.827,-36.133,31.738
0.382,0.58,1.044,-5.188,-27.344,23.926
0.317,0.564,1.041,-0.305,-13.062,22.583
0.413,0.58,1.062,5.31,0.854,21.606
0.599,0.639,1.042,12.024,11.23,14.282
0.758,0.676,0.998,16.846,18.372,4.028
0.881,0.692,0.968,18.433,21.79,-2.075
0.919,0.642,0.932,20.569,19.958,-4.7
0.848,0.531,0.879,21.362,11.047,-7.812
0.715,0.467,0.83,19.409,-0.671,-10.498
0.468,0.335,0.758,16.418,-8.301,-11.963
0.276,0.246,0.695,6.409,-8.789,-5.981
0.511,0.387,0.654,-2.502,2.258,7.263
0.798,0.491,0.719,17.273,16.541,17.822
1.02,0.609,0.77,40.833,11.047,23.071
0.461,0.341,0.757,38.757,-13.916,2.197
0.481,0.262,0.741,20.264,-39.612,-10.803
0.565,0.258,0.653,26.123,-36.926,9.583
0.519,0.527,0.624,31.494,-40.771,33.691
0.174,0.841,0.658,21.729,-54.565,15.869
0.078,0.612,0.788,7.69,-54.565,-35.828
0.117,0.371,0.875,0.183,-32.959,-69.397
0.243,0.253,0.858,-1.465,-2.686,-78.491
0.417,0.185,0.847,-0.793,19.958,-74.89
0.486,0.337,0.876,-0.366,27.893,-69.519
0.39,0.136,0.934,-0.61,27.588,-71.411
0.298,-0.163,0.874,0.977,25.757,-54.382
-0.04,-0.443,0.751,9.277,18.372,-5.859
0.048,0.339,0.623,10.559,5.127,42.664
-0.115,0.125,0.534,0.916,-1.892,8.911
-0.225,0.065,0.492,-5.676,7.446,-16.541
-0.005,0.258,0.528,-9.766,25.94,-12.024
0.208,0.353,0.636,-15.137,38.025,-7.08
0.271,0.333,0.739,-21.606,38.452,-23.254
0.318,0.201,0.77,-19.348,33.02,-33.752
0.331,0.128,0.772,-13.062,25.085,-17.761
0.352,0.145,0.78,-9.827,13.367,11.658
0.331,0.166,0.798,-9.521,-1.343,27.649
0.297,0.202,0.799,-10.376,-12.146,26.611
0.295,0.254,0.78,-10.62,-13.245,22.217
0.242,0.177,0.725,-10.376,-8.118,25.513
0.22,0.113,0.693,-11.353,-4.578,35.889
0.248,0.192,0.664,-14.526,-3.296,42.48
0.278,0.157,0.694,-17.639,-1.038,40.039
0.444,0.197,0.762,-19.043,3.235,38.33
0.81,0.363,0.913,-18.372,6.348,38.574
0.73,0.492,0.826,-16.724,6.287,34.363
0.766,0.549,0.903,-19.897,-7.507,34.851
0.767,0.412,1.037,-20.874,-23.621,38.147
0.711,0.502,1.126,-17.822,-33.691,40.588
0.623,0.605,1.125,-15.747,-31.372,33.63
0.585,0.576,1.127,-10.62,-18.86,27.283
0.552,0.553,1.07,-6.409,-6.348,26.794
0.598,0.617,1.034,-1.709,1.709,25.085
0.669,0.667,0.974,3.479,6.47,17.212
0.742,0.745,0.939,6.47,11.108,7.69
0.822,0.74,0.936,9.888,15.564,0.549
0.866,0.658,0.904,13.733,13.916,-5.493
0.777,0.626,0.861,13.916,3.906,-11.963
0.659,0.541,0.826,14.099,-5.798,-16.602
0.557,0.476,0.827,15.869,-7.996,-16.968
0.493,0.486,0.86,20.081,-5.981,-15.564
0.467,0.418,0.898,23.682,-4.333,-18.555
0.452,-0.416,0.877,29.907,-5.737,-14.893
0.246,0.055,0.867,48.706,-19.287,54.199
0.382,0.892,0.766,49.683,-38.757,80.017
0.191,0.53,0.729,28.748,-40.894,3.784
0.233,0.473,0.719,17.883,-17.09,-36.743
0.641,0.481,0.703,18.372,10.803,-35.706
