aX,aY,aZ,gX,gY,gZ
0.801,-0.073,-0.225,-29.907,-23.621,3.418
0.819,-0.065,-0.17,-28.931,-12.268,5.676
0.976,0.038,-0.21,-27.344,4.211,7.202
1.079,0.063,-0.359,-28.381,21.24,2.93
1.13,-0.006,-0.482,-31.25,36.316,2.014
1.108,-0.06,-0.545,-35.278,43.396,2.502
0.986,-0.108,-0.55,-40.955,45.105,0.916
0.817,-0.41,-0.225,-40.894,41.443,7.751
0.691,0.016,0.073,-30.701,38.33,25.696
0.722,0.046,0.007,-32.41,51.88,7.019
0.882,-0.068,-0.097,-30.396,64.88,0.244
0.915,-0.214,-0.08,-27.954,70.557,2.136
0.902,-0.306,-0.021,-22.278,65.552,6.409
1.051,-0.227,0.0,-15.442,50.537,7.446
1.118,-0.073,0.001,-10.254,37.354,3.296
1.066,-0.04,-0.028,-7.019,26.978,2.014
1.003,-0.055,-0.071,-4.395,20.691,0.488
0.943,-0.059,-0.054,-2.93,19.653,-0.916
0.93,-0.112,0.003,-2.38,18.738,-1.526
0.954,-0.125,0.036,-0.244,12.329,-1.16
0.935,-0.125,0.062,2.441,1.343,0.61
0.933,-0.162,0.084,5.859,-9.399,3.235
0.953,-0.209,0.064,10.376,-17.822,5.798
0.978,-0.226,0.005,15.076,-24.536,7.629
0.981,-0.208,-0.054,18.127,-28.87,7.69
0.984,-0.17,-0.126,18.799,-30.884,5.981
1.006,-0.164,-0.182,18.25,-31.25,3.784
0.953,-0.193,-0.19,17.944,-29.48,3.235
0.939,-0.214,-0.225,17.639,-27.405,3.601
0.942,-0.244,-0.246,17.456,-25.208,3.906
0.973,-0.278,-0.254,16.846,-25.391,4.822
0.999,-0.297,-0.222,16.663,-29.297,5.371
1.002,-0.285,-0.201,16.418,-37.537,5.981
0.937,-0.241,-0.206,16.479,-48.767,5.859
0.878,-0.139,-0.237,16.357,-59.875,4.272
0.828,-0.018,-0.144,15.625,-66.467,0.916
0.872,-0.044,-0.063,18.494,-60.181,-0.366
0.967,-0.121,-0.05,23.865,-45.105,0.854
1.152,-0.12,-0.199,27.405,-28.137,1.709
1.413,0.064,-0.23,28.198,-16.296,-1.526
1.359,0.25,-0.185,27.1,-9.949,-9.766
1.035,0.119,-0.282,25.208,-6.47,-13.55
0.904,-0.097,-0.431,26.428,2.93,-13.184
0.956,-0.127,-0.492,23.376,19.592,-11.963
0.963,-0.109,-0.452,19.226,29.968,-12.085
0.92,-0.114,-0.436,16.907,25.574,-8.667
0.852,-0.072,-0.469,14.648,19.836,-4.822
0.881,0.005,-0.511,10.376,23.315,-3.784
1.009,0.052,-0.552,5.432,30.701,-2.93
1.103,0.041,-0.565,0.488,31.128,-1.038
1.089,0.0,-0.567,-5.737,20.02,0.305
1.054,-0.03,-0.57,-11.963,3.601,0.916
1.002,-0.028,-0.535,-17.395,-6.348,1.709
0.986,0.002,-0.457,-22.522,-7.019,2.625
0.995,-0.002,-0.351,-25.452,-1.526,4.089
1.073,0.017,-0.32,-26.489,5.432,5.92
1.05,0.123,-0.347,-28.809,16.663,3.235
0.989,0.07,-0.381,-33.752,32.227,-2.808
0.841,-0.153,-0.353,-35.278,45.593,-1.282
0.722,-0.155,-0.223,-31.616,54.077,10.742
0.878,-0.041,-0.105,-30.945,55.542,13.306
0.838,0.028,-0.105,-28.381,57.129,7.263
0.867,0.054,-0.248,-27.893,59.448,3.784
1.059,0.047,-0.339,-29.297,60.303,0.61
1.018,-0.135,-0.348,-31.799,57.068,-1.16
0.857,-0.312,-0.313,-29.846,46.082,5.432
0.971,-0.224,-0.14,-25.452,28.748,12.39
1.014,-0.054,0.014,-20.63,12.268,10.62
1.017,-0.01,0.08,-17.456,1.221,7.874
1.001,-0.086,0.071,-13.184,-3.113,6.409
0.895,-0.122,0.073,-9.949,-3.601,5.493
0.863,-0.202,0.089,-7.141,-2.808,5.066
0.909,-0.244,0.108,-2.38,-5.493,5.432
0.961,-0.23,0.119,2.686,-12.329,6.287
1.007,-0.237,0.124,8.118,-20.691,6.287
1.081,-0.234,0.072,13.428,-30.09,5.859
1.067,-0.208,0.024,18.25,-39.246,4.578
0.966,-0.191,-0.01,21.545,-45.41,2.93
0.848,-0.188,-0.044,22.766,-45.349,1.648
0.772,-0.213,-0.095,23.621,-38.879,1.831
0.766,-0.242,-0.182,24.536,-30.457,3.784
0.763,-0.269,-0.226,25.33,-24.78,6.409
0.806,-0.302,-0.223,25.391,-24.414,9.644
0.889,-0.321,-0.245,26.001,-28.015,12.512
0.94,-0.272,-0.23,25.757,-37.72,15.198
0.896,-0.163,-0.255,25.513,-51.453,16.357
0.916,0.026,-0.176,24.414,-66.04,15.137
1.073,0.072,-0.036,25.757,-71.045,12.451
1.151,-0.052,-0.051,31.006,-62.561,8.179
1.378,-0.001,-0.31,34.119,-47.668,2.197
1.51,0.314,-0.211,31.921,-32.349,-6.287
1.261,0.348,-0.24,28.381,-18.25,-14.832
1.114,0.009,-0.475,29.724,-9.705,-15.015
1.11,-0.172,-0.564,28.503,6.775,-10.864
1.053,-0.116,-0.507,19.714,25.94,-12.146
0.994,-0.103,-0.472,13.672,37.476,-14.038
0.939,-0.083,-0.458,12.085,42.48,-10.498
0.918,-0.031,-0.472,10.071,45.471,-8.484
0.96,0.028,-0.494,6.653,47.974,-8.728
1.06,0.046,-0.565,3.723,42.542,-8.057
1.08,0.008,-0.623,-0.671,29.175,-6.775
1.017,-0.057,-0.663,-7.69,14.038,-6.104
1.014,-0.059,-0.658,-15.381,6.531,-6.104
1.059,-0.017,-0.569,-22.705,7.507,-6.592
1.127,-0.016,-0.422,-27.893,8.545,-6.592
1.161,-0.016,-0.306,-30.029,6.653,-5.127
1.05,0.087,-0.284,-31.25,8.057,-6.714
0.928,0.055,-0.315,-35.95,20.325,-13.55
0.869,-0.098,-0.351,-38.94,33.081,-13.916
0.88,-0.158,-0.256,-40.283,37.964,-8.423
0.919,-0.079,-0.164,-39.246,37.415,-5.92
0.766,-0.112,-0.169,-36.255,43.274,-6.47
0.629,0.035,-0.276,-35.156,58.716,-4.333
0.812,-0.127,-0.351,-39.551,75.867,-8.24
0.877,-0.327,-0.296,-38.879,76.965,-0.122
1.169,-0.265,-0.093,-34.302,53.589,6.409
1.116,-0.123,0.055,-27.954,22.034,5.371
0.934,-0.062,0.131,-23.56,0.061,3.479
0.795,-0.041,0.103,-18.494,-6.409,2.563
0.731,-0.04,0.08,-15.625,0.427,1.953
0.776,-0.14,0.071,-13.916,10.864,1.892
0.882,-0.194,0.058,-11.719,13.123,3.235
0.941,-0.224,0.056,-9.033,6.836,5.798
0.946,-0.266,0.07,-5.188,-0.977,8.179
0.95,-0.311,0.071,-1.343,-8.85,9.888
0.96,-0.336,0.046,3.723,-15.198,11.963
1.002,-0.277,0.011,8.545,-20.142,12.634
0.984,-0.201,-0.053,11.719,-22.949,10.376
0.924,-0.175,-0.109,12.939,-22.644,7.812
0.835,-0.199,-0.13,14.832,-19.104,7.69
0.78,-0.214,-0.167,16.174,-17.944,9.399
0.727,-0.237,-0.163,17.761,-20.447,11.169
0.708,-0.31,-0.166,20.264,-25.085,13.672
0.719,-0.374,-0.225,23.621,-29.785,16.846
0.735,-0.345,-0.295,23.621,-34.058,21.423
0.806,-0.239,-0.285,22.644,-34.302,23.865
0.796,-0.146,-0.259,21.79,-29.724,25.391
0.879,-0.041,-0.299,21.912,-25.879,26.794
1.145,0.059,-0.309,22.034,-24.109,25.574
1.55,0.042,-0.584,21.423,-25.879,20.691
1.812,0.27,-0.51,20.996,-21.667,9.033
1.426,0.375,-0.34,13.611,-14.832,0.061
1.008,0.089,-0.519,9.216,-10.376,0.671
0.979,-0.164,-0.718,9.827,1.587,2.563
1.072,-0.087,-0.757,0.916,13.794,3.296
1.064,-0.036,-0.751,-8.423,13.733,0.0
0.94,-0.09,-0.73,-11.902,2.197,5.188
0.815,-0.093,-0.688,-15.869,-7.446,12.329
0.805,-0.067,-0.625,-21.24,-7.08,15.076
0.85,-0.069,-0.593,-25.94,-1.831,18.188
0.928,-0.102,-0.618,-28.503,2.625,22.888
0.997,-0.1,-0.615,-30.762,7.019,25.146
1.034,-0.067,-0.59,-32.898,8.667,25.574
1.064,-0.046,-0.559,-33.142,6.165,26.062
1.046,-0.052,-0.539,-32.593,1.343,26.123
0.995,0.039,-0.544,-32.837,-1.953,22.827
0.785,0.085,-0.568,-36.072,3.235,14.954
0.64,-0.022,-0.512,-41.504,11.414,10.559
0.659,-0.172,-0.283,-41.87,15.442,11.658
0.732,-0.108,-0.2,-37.659,16.113,10.742
0.69,-0.119,-0.321,-34.912,18.494,1.343
0.644,-0.321,-0.406,-31.067,26.367,0.0
0.529,-0.314,-0.418,-22.339,43.152,11.414
0.584,-0.35,-0.269,-21.179,57.8,8.728
0.932,-0.419,-0.111,-8.85,58.35,8.545
1.209,-0.19,-0.102,4.456,49.133,8.728
1.301,-0.085,-0.13,15.198,29.785,3.784
1.119,-0.074,-0.167,25.757,10.498,-1.404
0.973,-0.04,-0.121,34.668,1.16,-9.766
1.004,-0.032,-0.062,43.335,-4.333,-14.954
1.037,-0.008,0.006,52.124,-10.559,-18.005
1.007,0.008,0.06,59.57,-19.531,-19.226
0.983,0.016,0.071,67.688,-25.574,-19.043
0.99,0.061,0.038,73.425,-25.085,-18.127
1.046,0.127,-0.014,75.378,-21.24,-18.25
1.114,0.087,-0.06,76.538,-17.151,-18.311
1.169,0.034,-0.111,78.247,-15.198,-16.968
1.183,0.02,-0.172,79.163,-15.747,-15.259
1.149,0.022,-0.192,79.224,-21.423,-13.184
1.076,0.02,-0.151,79.895,-26.978,-10.559
1.082,-0.01,-0.136,80.444,-31.189,-6.104
1.19,0.041,-0.088,81.36,-37.231,-1.404
1.152,0.118,-0.004,82.031,-47.546,1.77
1.068,0.178,-0.035,83.557,-58.228,4.456
1.042,0.318,0.05,85.205,-61.646,6.104
1.049,0.372,0.198,86.792,-57.861,8.484
1.146,0.298,0.195,90.21,-48.95,12.024
1.468,0.278,-0.126,93.75,-30.823,12.878
1.693,0.563,-0.104,92.529,-6.714,6.653
1.436,0.69,-0.133,85.51,9.46,-2.258
1.166,0.396,-0.279,78.308,16.724,-5.249
1.146,0.117,-0.44,76.05,25.269,-2.563
1.286,0.141,-0.452,68.909,33.875,0.244
1.22,0.207,-0.348,59.631,33.081,-1.587
1.079,0.205,-0.26,52.551,22.644,-2.869
0.998,0.223,-0.22,48.157,15.625,-2.686
0.971,0.199,-0.374,42.236,18.25,-2.502
1.117,0.121,-0.546,35.034,16.541,-1.526
1.167,0.068,-0.61,25.818,2.93,0.427
1.06,0.056,-0.603,14.282,-16.296,0.61
0.924,0.077,-0.549,2.869,-32.471,0.61
0.862,0.063,-0.451,-6.165,-40.466,2.197
0.874,0.068,-0.298,-12.39,-39.917,4.456
0.908,0.114,-0.177,-16.968,-33.569,5.127
0.92,0.161,-0.108,-19.226,-21.667,3.784
0.975,0.195,-0.014,-19.043,-8.179,0.61
1.132,0.223,0.053,-17.09,-4.456,-3.052
1.133,0.26,-0.038,-16.357,-12.512,-11.292
0.733,0.172,-0.158,-22.095,-14.587,-21.057
0.409,0.005,-0.236,-31.494,-1.77,-23.071
0.289,-0.228,-0.162,-37.476,22.4,-18.433
0.414,0.116,0.046,-36.316,49.5,-4.272
0.542,0.15,0.057,-45.288,65.43,-11.963
0.39,0.019,0.007,-47.546,81.787,-10.62
0.193,-0.235,-0.101,-51.27,100.647,-2.747
0.818,-0.299,0.161,-48.828,91.431,11.536
1.297,-0.145,0.403,-35.889,57.19,14.893
1.202,0.023,0.609,-32.349,15.747,3.723
0.928,-0.077,0.703,-26.367,-22.522,-4.578
0.842,-0.139,0.648,-15.503,-46.448,-6.592
0.897,-0.172,0.651,-5.066,-53.894,-4.578
0.758,-0.27,0.615,1.587,-57.068,-4.517
0.588,-0.234,0.566,7.202,-46.997,-4.028
0.642,-0.125,0.487,11.414,-18.311,-4.7
0.821,-0.044,0.37,14.404,13.0,-4.15
0.924,-0.055,0.2,15.564,32.288,-3.357
0.976,-0.098,0.044,15.503,36.499,-2.502
0.992,-0.115,-0.03,15.198,34.729,-1.099
0.992,-0.111,-0.099,14.771,28.687,0.671
0.928,-0.151,-0.182,15.381,14.648,3.052
0.933,-0.246,-0.266,16.968,-2.563,7.874
1.055,-0.298,-0.419,19.653,-20.325,13.0
1.104,-0.172,-0.427,18.311,-40.344,15.808
0.989,-0.012,-0.409,11.292,-65.613,15.625
0.829,0.065,-0.285,8.301,-84.717,16.235
1.078,0.116,-0.146,9.705,-91.736,17.883
1.486,0.147,-0.474,12.451,-77.82,13.306
1.886,0.584,-0.303,15.381,-45.349,-0.183
1.194,0.806,-0.124,7.507,-12.817,-14.526
1.187,0.363,-0.607,3.174,2.258,-18.127
1.312,-0.139,-0.776,14.099,32.776,-19.165
1.27,-0.016,-0.847,3.845,49.5,-18.86
1.273,0.14,-0.814,-7.629,44.189,-23.926
1.114,0.156,-0.848,-12.512,34.302,-25.574
0.987,0.138,-0.836,-16.968,30.334,-22.644
1.117,0.151,-0.83,-21.606,31.25,-18.311
1.242,0.147,-0.817,-25.269,20.996,-16.541
1.18,0.132,-0.808,-30.884,-1.77,-16.296
1.087,0.066,-0.767,-36.316,-23.621,-15.503
1.013,0.014,-0.675,-38.208,-33.203,-14.16
0.954,0.018,-0.569,-39.246,-25.574,-14.587
0.977,0.003,-0.464,-39.856,-6.714,-16.846
1.019,-0.005,-0.377,-39.001,11.414,-19.226
