aX,aY,aZ,gX,gY,gZ
0.977,-0.136,0.016,-51.27,-109.924,-0.305
0.955,-0.128,0.195,-49.194,-94.91,0.977
0.875,-0.034,0.306,-46.631,-82.397,-0.732
0.818,0.03,0.318,-42.175,-69.336,-2.686
0.815,-0.011,0.264,-36.438,-58.533,-3.784
0.796,-0.039,0.166,-32.532,-49.438,-3.723
0.821,-0.054,0.054,-30.884,-41.016,-4.883
0.904,-0.043,-0.01,-32.043,-34.973,-7.141
1.003,-0.03,-0.052,-35.095,-32.41,-8.606
1.074,-0.046,-0.053,-37.354,-33.569,-8.667
1.05,-0.089,0.015,-38.33,-36.499,-8.362
0.965,-0.118,0.129,-38.147,-38.818,-7.935
0.879,-0.096,0.271,-36.987,-38.696,-8.24
0.827,-0.072,0.389,-32.776,-35.095,-9.399
0.81,-0.079,0.462,-25.33,-27.649,-10.193
0.833,-0.114,0.485,-16.846,-18.738,-9.766
0.831,-0.157,0.465,-8.85,-11.536,-8.911
0.827,-0.182,0.397,-2.014,-7.019,-8.057
0.909,-0.18,0.28,3.662,-0.671,-8.362
0.699,-0.177,0.293,7.263,10.498,-10.254
0.605,-0.083,0.219,7.507,28.564,-8.911
0.689,-0.052,0.246,11.902,55.42,-8.423
0.795,-0.055,0.276,15.991,79.407,-7.751
0.892,-0.077,0.24,19.897,91.553,-4.883
1.005,-0.128,0.163,25.452,91.797,-1.404
1.052,-0.172,0.093,30.029,82.275,0.305
1.021,-0.205,0.073,32.837,69.214,0.916
0.877,-0.218,0.042,33.569,62.988,0.183
0.871,-0.175,-0.012,34.058,65.369,-2.136
0.92,-0.106,-0.031,34.729,72.021,-4.395
0.935,-0.06,0.002,35.522,75.806,-4.517
0.877,-0.039,0.007,36.133,76.477,-2.93
0.825,-0.022,-0.005,37.292,77.637,-1.892
0.772,-0.029,-0.044,38.025,82.703,-1.038
0.777,-0.052,-0.131,38.452,91.248,0.854
0.825,-0.089,-0.227,38.818,98.633,2.93
0.921,-0.107,-0.295,37.842,100.342,5.066
0.984,-0.09,-0.357,34.912,95.825,6.409
1.056,-0.016,-0.388,30.701,86.731,6.775
1.135,0.064,-0.35,26.245,74.402,6.165
1.157,0.069,-0.329,23.132,59.204,6.104
1.081,0.021,-0.36,19.958,45.898,7.08
1.012,-0.003,-0.41,16.479,39.673,7.751
1.011,-0.0,-0.474,12.451,40.283,7.935
1.082,0.013,-0.543,8.667,43.03,8.423
1.202,0.024,-0.592,4.822,41.382,8.667
1.282,0.016,-0.558,0.122,34.79,7.69
1.307,-0.035,-0.507,-5.92,23.193,5.798
1.367,-0.078,-0.378,-10.193,6.409,4.089
1.353,-0.083,-0.248,-12.268,-10.437,1.16
1.315,-0.088,-0.144,-11.902,-30.396,-2.441
1.275,-0.077,-0.105,-9.705,-51.819,-5.615
1.214,-0.056,-0.095,-7.629,-72.693,-9.46
1.159,-0.037,-0.138,-7.507,-91.248,-12.878
1.109,-0.046,-0.202,-8.301,-107.483,-14.587
1.038,-0.08,-0.26,-10.559,-119.385,-14.221
0.963,-0.12,-0.329,-14.343,-123.23,-13.489
0.938,-0.129,-0.355,-19.592,-119.568,-12.939
0.914,-0.148,-0.294,-23.926,-108.948,-12.329
0.896,-0.162,-0.161,-27.1,-92.468,-11.353
0.892,-0.162,-0.001,-28.748,-72.144,-10.925
0.944,-0.106,0.107,-27.649,-54.565,-10.376
1.007,-0.064,0.197,-24.597,-46.631,-10.254
1.05,-0.062,0.208,-19.714,-48.096,-9.583
1.089,-0.09,0.182,-16.052,-54.077,-9.216
1.14,-0.1,0.136,-14.282,-60.852,-10.01
1.128,-0.089,0.091,-14.099,-65.918,-12.39
1.038,-0.107,0.056,-13.245,-67.871,-14.343
0.917,-0.12,0.05,-12.817,-63.843,-16.418
0.812,-0.11,0.055,-13.794,-51.025,-20.508
0.787,-0.094,0.086,-14.893,-32.654,-23.682
0.833,-0.098,0.134,-14.832,-15.503,-22.949
0.897,-0.143,0.197,-13.489,-7.446,-19.653
0.91,-0.179,0.256,-10.559,-10.01,-16.174
0.902,-0.171,0.305,-8.24,-18.066,-14.282
0.875,-0.166,0.35,-5.371,-24.841,-14.648
0.828,-0.165,0.372,-1.221,-26.245,-14.954
0.775,-0.181,0.346,3.113,-22.4,-15.198
0.744,-0.172,0.25,6.531,-14.343,-15.625
0.651,-0.138,0.166,8.24,-1.526,-15.686
0.542,-0.092,0.098,7.568,17.639,-15.137
0.536,-0.066,0.082,7.202,42.236,-13.0
0.63,-0.083,0.078,8.789,66.711,-9.155
0.77,-0.122,0.091,11.719,84.106,-4.944
0.892,-0.147,0.086,14.832,89.111,-2.258
0.955,-0.162,0.052,18.066,84.229,-0.122
0.91,-0.207,0.046,20.996,78.186,1.892
0.872,-0.227,0.027,23.132,78.979,1.831
0.932,-0.19,0.03,25.574,85.876,0.122
0.961,-0.164,0.019,28.015,92.651,-0.366
0.916,-0.173,-0.022,30.823,95.032,0.854
0.884,-0.176,-0.079,33.569,96.008,1.343
0.883,-0.157,-0.092,34.973,97.839,1.526
0.92,-0.128,-0.113,35.4,99.304,2.502
0.873,-0.121,-0.149,35.828,101.318,3.479
0.906,-0.123,-0.186,35.645,99.243,4.15
0.978,-0.106,-0.25,34.912,93.445,5.066
1.068,-0.058,-0.304,33.813,82.397,5.981
1.13,0.001,-0.364,31.616,67.566,6.287
1.194,0.066,-0.376,28.748,47.607,6.104
1.186,0.054,-0.455,25.696,25.696,5.615
1.124,0.015,-0.579,21.24,6.226,6.226
1.135,0.009,-0.657,14.16,-6.104,6.47
1.157,0.025,-0.671,5.615,-13.916,7.202
1.189,0.002,-0.632,-2.075,-23.499,8.972
1.214,-0.047,-0.545,-8.179,-33.997,10.803
1.235,-0.122,-0.439,-12.268,-41.992,10.376
