aX,aY,aZ,gX,gY,gZ
0.335,0.215,1.064,-17.944,-5.737,44.434
0.447,0.22,1.041,-14.771,0.122,38.635
0.539,0.221,1.042,-13.245,1.038,34.546
0.608,0.245,1.057,-12.207,-1.343,27.222
0.693,0.274,1.09,-11.353,-6.348,18.921
0.751,0.283,1.142,-9.094,-13.428,12.085
0.771,0.311,1.22,-6.042,-20.935,5.615
0.733,0.312,1.29,-2.747,-26.184,-1.892
0.614,0.296,1.306,1.587,-27.344,-9.949
0.466,0.214,1.269,6.958,-24.231,-17.029
0.38,0.147,1.219,12.024,-15.564,-21.729
0.373,0.151,1.16,16.296,-3.296,-25.513
0.462,0.123,1.099,19.592,7.935,-28.503
0.485,0.076,1.014,21.729,15.015,-30.09
0.493,-0.03,0.952,22.705,15.625,-30.273
0.379,0.056,0.944,23.254,11.169,-23.132
0.428,0.388,0.974,21.301,6.348,-22.156
0.444,0.288,1.02,24.231,9.277,-42.419
0.567,0.215,1.099,28.503,12.939,-54.504
0.426,0.122,1.082,32.41,11.108,-61.951
-0.477,-2.22,0.667,42.419,4.7,-29.48
-0.162,1.436,0.608,32.776,-14.832,91.614
-0.787,0.417,0.487,4.028,-2.197,-34.241
0.015,-0.259,0.651,13.184,45.044,-73.303
0.42,-0.095,0.664,12.634,73.914,-54.504
0.39,0.269,0.676,0.0,63.782,-45.959
0.55,0.128,0.744,1.709,50.476,-28.442
0.589,0.098,0.838,3.174,27.832,-31.616
0.569,0.166,0.921,2.014,2.38,-32.837
0.469,0.115,1.01,2.808,-20.752,-29.968
0.282,0.119,1.101,3.479,-34.79,-30.762
-0.011,0.047,1.163,6.042,-34.363,-30.334
-0.268,-0.121,1.209,9.766,-23.132,-23.987
-0.223,-0.152,1.221,12.756,-2.991,-17.7
-0.123,-0.068,1.129,13.916,23.621,-15.747
-0.109,-0.158,0.963,13.428,42.48,-7.935
0.065,-0.157,0.803,12.329,48.462,4.333
0.153,-0.073,0.668,9.583,50.964,5.066
0.295,0.002,0.647,4.761,48.218,-0.549
0.424,-0.01,0.7,3.357,37.048,-2.869
0.392,-0.033,0.721,1.831,19.47,-1.16
0.276,-0.076,0.742,-2.38,0.183,3.418
0.121,-0.097,0.741,-6.531,-15.32,7.385
0.037,-0.072,0.764,-9.216,-22.339,10.559
0.025,-0.058,0.811,-10.254,-22.217,13.123
-0.071,-0.082,0.844,-10.193,-19.531,15.747
-0.241,-0.129,0.838,-9.644,-17.456,21.362
-0.271,-0.152,0.874,-9.094,-13.123,28.503
-0.302,-0.149,0.879,-8.728,-4.395,34.058
-0.22,-0.13,0.879,-9.766,6.348,40.039
-0.122,-0.095,0.902,-10.376,16.663,48.34
0.06,-0.02,0.896,-10.498,21.729,56.274
0.211,0.008,0.856,-11.78,20.63,63.782
0.48,0.025,1.01,-14.465,12.024,70.007
0.72,0.148,1.021,-17.273,3.967,71.045
0.571,0.309,1.009,-19.043,-5.554,68.115
0.389,0.117,1.101,-19.104,-24.109,68.237
0.217,0.146,1.185,-18.372,-37.659,66.833
0.237,0.254,1.224,-14.648,-36.011,59.509
0.357,0.281,1.233,-9.949,-24.658,53.467
0.468,0.309,1.207,-6.165,-13.245,49.622
0.552,0.341,1.172,-4.333,-2.991,43.579
0.676,0.312,1.148,-1.038,4.578,34.485
0.873,0.375,1.146,1.892,7.935,25.818
1.033,0.423,1.13,4.822,7.385,16.174
1.165,0.401,1.102,7.812,2.93,4.15
0.973,0.151,1.087,8.972,-6.409,-6.958
0.735,0.046,1.079,7.629,-16.418,-14.465
0.635,0.121,1.097,7.568,-17.639,-19.897
0.532,0.106,1.071,11.414,-11.78,-27.954
0.452,-0.111,0.987,13.245,-6.653,-30.579
0.295,-0.937,0.885,15.93,-7.324,-11.78
0.202,0.274,0.841,13.855,-17.761,44.067
0.208,0.466,0.714,9.338,-15.625,15.747
0.562,0.503,0.782,6.348,9.033,-29.236
0.703,0.235,0.876,9.888,20.325,-49.622
0.839,0.203,0.969,8.423,15.991,-56.091
0.685,0.094,0.935,7.812,16.113,-72.571
0.653,-0.161,1.008,10.803,13.611,-73.853
0.309,-0.898,0.828,20.508,1.587,-36.804
-0.026,0.58,0.884,24.231,-21.545,38.513
-0.223,0.805,0.758,9.766,-31.372,-13.855
-0.526,-0.083,0.848,7.263,-12.451,-88.867
-0.439,-0.453,1.012,9.766,10.437,-77.82
0.045,-0.059,0.969,10.254,35.278,-62.317
0.098,-0.044,0.891,12.329,64.636,-60.852
0.636,0.009,0.857,16.541,71.96,-46.936
0.685,0.155,0.867,20.63,55.115,-32.898
0.346,0.057,0.846,16.113,23.804,-27.893
0.157,-0.069,0.858,13.428,-1.953,-21.301
-0.02,-0.057,0.842,10.132,-10.437,-28.259
-0.11,-0.034,0.852,6.836,-2.991,-29.602
-0.088,-0.104,0.903,6.653,8.301,-18.127
-0.082,-0.039,0.896,6.226,20.813,-10.803
-0.026,-0.068,0.869,5.798,30.09,-11.536
-0.014,-0.139,0.875,4.272,28.503,-9.094
0.025,-0.137,0.877,1.038,20.386,-4.883
0.164,-0.108,0.891,-2.136,13.55,-2.197
0.225,-0.104,0.885,-3.54,8.179,-0.671
0.215,-0.099,0.878,-5.859,3.54,4.639
0.209,-0.094,0.892,-7.141,-0.061,10.498
0.22,-0.081,0.891,-6.714,-2.869,13.0
0.268,-0.064,0.868,-6.592,-6.958,13.489
0.142,-0.104,0.822,-8.118,-12.939,14.832
0.025,-0.14,0.808,-9.827,-19.592,19.043
-0.05,-0.169,0.835,-10.254,-22.461,23.682
-0.1,-0.166,0.811,-10.559,-21.484,26.855
-0.064,-0.171,0.786,-12.085,-17.822,32.41
0.028,-0.17,0.835,-14.282,-12.207,38.391
0.153,-0.04,0.934,-15.747,-7.996,43.64
0.348,0.074,1.003,-15.93,-8.362,48.95
0.628,0.151,1.198,-15.137,-13.672,52.185
0.728,0.258,1.236,-14.709,-17.944,52.429
0.639,0.235,1.178,-11.963,-19.531,50.781
0.385,0.071,1.146,-9.094,-29.297,46.631
0.27,0.123,1.149,-8.545,-34.424,44.678
0.412,0.238,1.122,-3.357,-24.231,37.109
0.594,0.237,1.078,0.977,-11.78,29.419
0.705,0.184,1.068,2.686,-9.521,26.306
0.76,0.253,1.085,2.686,-14.587,19.226
0.76,0.271,1.148,4.028,-22.705,8.545
0.806,0.301,1.22,7.019,-29.236,0.61
0.75,0.292,1.229,11.23,-33.142,-8.179
0.607,0.174,1.165,13.916,-33.875,-17.761
0.478,0.069,1.109,14.893,-28.503,-24.597
0.411,0.024,1.08,16.724,-17.883,-30.823
0.406,-0.036,1.079,18.311,-6.104,-34.241
0.405,-0.299,1.049,19.714,1.343,-32.288
0.427,0.201,1.064,20.508,2.563,-15.503
0.502,0.335,0.991,19.287,6.226,-25.33
0.512,0.16,0.94,22.156,12.146,-46.448
0.582,0.111,0.947,24.17,9.521,-54.016
0.534,-0.49,0.798,25.513,3.906,-60.547
-0.218,-1.106,0.667,38.513,-7.874,11.475
-0.124,1.488,0.498,19.531,-28.625,77.271
-0.719,0.166,0.565,2.808,-16.846,-53.65
-0.047,-0.375,0.725,8.728,27.222,-66.65
-0.029,0.023,0.691,0.916,48.401,-56.213
-0.04,0.178,0.7,-8.118,52.49,-49.255
0.212,-0.093,0.718,-3.235,55.725,-41.443
0.453,-0.067,0.775,-0.671,43.213,-39.124
0.464,0.001,0.789,-1.709,18.066,-27.588
