aX,aY,aZ,gX,gY,gZ
1.229,-0.133,-0.025,23.254,-322.937,3.052
1.292,-0.18,-0.093,33.264,-380.371,11.78
1.295,-0.144,-0.113,35.461,-439.148,19.958
0.942,-0.083,-0.1,31.006,-489.99,23.621
0.469,-0.094,0.05,22.339,-519.958,29.907
0.639,-0.031,0.339,19.592,-519.104,40.466
1.037,-0.083,0.52,26.855,-498.962,42.358
1.082,-0.123,0.55,28.625,-481.384,35.461
1.049,-0.097,0.554,22.339,-468.811,26.978
1.1,-0.218,0.558,20.325,-450.623,14.16
1.105,-0.443,0.542,19.348,-426.147,-0.122
1.012,-0.58,0.517,16.174,-403.931,-11.475
0.748,-0.529,0.52,9.705,-387.39,-17.7
0.447,-0.465,0.652,6.226,-369.69,-17.151
0.209,-0.378,0.71,5.615,-340.515,-15.991
0.154,-0.265,0.705,7.751,-302.673,-19.104
0.16,-0.256,0.629,11.658,-269.348,-22.4
0.16,-0.287,0.582,10.559,-243.408,-19.47
0.06,-0.275,0.513,4.272,-216.37,-14.526
-0.048,-0.219,0.47,-2.563,-184.326,-12.268
-0.048,-0.21,0.473,-8.85,-146.729,-9.766
-0.061,-0.207,0.484,-18.25,-99.304,-4.211
-0.077,-0.182,0.554,-28.687,-42.908,2.197
-0.05,-0.15,0.669,-35.889,23.254,4.7
-0.096,-0.125,0.792,-40.588,103.699,2.319
-0.101,-0.1,0.865,-41.809,194.763,-2.197
0.074,-0.113,0.892,-36.926,283.386,-4.456
0.258,-0.159,0.868,-30.518,364.136,-3.052
0.432,-0.148,0.772,-25.757,431.641,0.61
0.554,-0.169,0.642,-20.325,481.934,5.859
0.678,-0.207,0.542,-16.296,516.235,13.0
0.713,-0.212,0.392,-13.062,544.25,17.456
0.857,-0.192,0.304,-7.324,559.082,16.785
1.048,-0.169,0.359,-2.808,552.246,15.991
1.08,-0.219,0.449,0.305,528.076,15.747
0.915,-0.121,0.422,-0.305,500.549,8.423
0.852,-0.169,0.329,-1.282,480.957,-4.883
0.99,-0.199,0.092,0.061,468.811,-18.372
1.354,-0.212,-0.081,1.343,446.106,-26.855
1.477,-0.268,-0.183,-1.709,406.982,-33.691
1.433,-0.373,-0.186,-6.592,355.286,-39.49
1.293,-0.316,-0.215,-13.306,303.955,-42.603
1.324,-0.21,-0.289,-19.775,264.099,-46.387
1.363,-0.148,-0.354,-24.231,233.582,-47.241
1.359,-0.21,-0.264,-27.1,201.721,-43.884
1.196,-0.203,-0.217,-26.55,169.556,-39.063
1.19,-0.112,-0.135,-26.367,134.766,-33.691
1.315,-0.082,0.004,-24.109,90.576,-26.733
1.273,-0.067,0.136,-19.348,36.377,-18.555
1.152,-0.037,0.226,-14.709,-16.846,-13.733
1.072,-0.025,0.265,-8.789,-64.575,-12.268
1.004,-0.06,0.225,-2.991,-108.643,-12.146
1.005,-0.096,0.128,3.052,-151.611,-10.254
1.083,-0.131,-0.012,11.536,-199.158,-5.798
1.088,-0.193,-0.084,20.386,-257.874,1.77
1.028,-0.232,-0.046,23.437,-324.707,11.902
0.987,-0.193,0.028,22.278,-382.629,20.996
0.818,-0.14,0.099,19.653,-421.265,26.306
0.414,-0.13,0.291,13.672,-431.519,31.189
0.075,-0.003,0.465,9.583,-402.954,38.208
0.46,0.172,0.495,21.667,-354.614,40.466
0.967,0.126,0.487,37.292,-320.862,40.527
1.33,-0.043,0.473,45.166,-317.322,47.546
1.665,-0.403,0.538,54.016,-339.111,56.702
1.337,-0.571,0.659,55.664,-369.568,64.453
0.812,-0.229,0.666,39.49,-403.931,59.387
0.697,0.119,0.461,16.907,-416.687,39.612
0.979,-0.15,0.455,1.404,-394.043,15.747
0.939,-0.536,0.468,0.122,-350.403,8.484
