aX,aY,aZ,gX,gY,gZ
0.417,-0.252,0.758,-12.634,11.902,-2.014
0.443,-0.221,0.755,-12.817,20.996,-3.54
0.485,-0.208,0.748,-12.39,27.771,-3.601
0.525,-0.184,0.757,-11.902,30.09,-3.296
0.595,-0.176,0.761,-10.62,27.832,-2.686
0.632,-0.185,0.767,-9.155,20.996,-2.38
0.613,-0.187,0.773,-7.812,12.573,-2.075
0.624,-0.174,0.772,-6.531,5.249,-3.052
0.625,-0.192,0.765,-5.554,-1.282,-6.409
0.584,-0.224,0.743,-5.859,-6.531,-9.033
0.56,-0.246,0.726,-7.019,-8.545,-10.925
0.561,-0.239,0.716,-8.24,-5.92,-12.39
0.554,-0.231,0.724,-9.033,-2.441,-12.024
0.538,-0.242,0.739,-9.46,-1.282,-10.132
0.544,-0.242,0.764,-9.766,-2.686,-8.545
0.579,-0.238,0.809,-9.521,-6.287,-8.179
0.598,-0.237,0.839,-8.667,-12.024,-8.301
0.641,-0.234,0.866,-7.507,-19.714,-8.179
0.719,-0.185,0.936,-5.432,-27.893,-9.583
0.693,-0.169,0.954,-0.488,-39.856,-11.963
0.473,-0.277,0.842,1.587,-57.983,-10.681
0.257,-0.328,0.813,-1.16,-69.702,-8.484
0.215,-0.262,0.869,-2.319,-60.852,-11.047
0.344,-0.209,0.925,-1.099,-37.354,-14.343
0.497,-0.184,0.945,0.549,-18.066,-13.489
0.589,-0.2,0.923,2.319,-15.747,-9.949
0.505,-0.214,0.891,2.197,-25.208,-5.859
0.386,-0.213,0.86,1.77,-30.762,-4.333
0.328,-0.196,0.84,1.709,-25.024,-7.324
0.356,-0.173,0.844,1.831,-12.024,-11.78
0.475,-0.159,0.86,2.686,0.183,-14.954
0.552,-0.17,0.863,3.662,6.775,-16.602
0.531,-0.177,0.873,4.456,9.338,-15.93
0.505,-0.189,0.867,5.981,12.695,-14.648
0.502,-0.205,0.881,7.874,17.944,-14.954
0.506,-0.232,0.893,9.888,22.705,-15.686
0.528,-0.242,0.903,11.658,24.902,-16.846
0.544,-0.243,0.909,13.306,24.597,-18.494
0.493,-0.259,0.892,14.832,23.682,-19.714
0.426,-0.264,0.861,15.503,25.452,-20.691
0.422,-0.252,0.839,16.541,32.837,-21.545
0.434,-0.272,0.828,18.433,44.006,-22.522
0.447,-0.279,0.864,19.714,56.396,-21.912
0.469,-0.285,0.821,21.545,69.763,-21.667
0.533,-0.291,0.812,22.339,79.712,-21.729
0.59,-0.302,0.779,22.644,82.458,-21.179
0.639,-0.315,0.736,22.095,78.43,-21.362
0.615,-0.312,0.712,20.569,70.984,-21.912
0.557,-0.309,0.705,19.104,65.125,-23.56
0.486,-0.313,0.691,17.09,64.026,-25.818
0.469,-0.304,0.656,14.404,69.519,-28.259
0.524,-0.278,0.697,13.367,78.796,-29.907
0.528,-0.279,0.66,13.306,89.661,-30.09
0.604,-0.292,0.637,13.306,98.877,-28.442
0.609,-0.303,0.632,13.672,105.713,-27.344
0.645,-0.308,0.604,13.123,110.718,-27.222
0.712,-0.324,0.565,11.78,113.22,-28.076
0.693,-0.336,0.545,9.338,113.403,-30.64
0.624,-0.354,0.541,7.141,114.014,-33.264
0.587,-0.368,0.535,5.859,117.188,-35.522
0.592,-0.362,0.522,4.272,122.498,-37.17
0.612,-0.35,0.532,2.38,127.625,-37.415
0.659,-0.347,0.561,1.77,131.409,-36.255
0.704,-0.369,0.569,1.831,134.766,-34.607
0.707,-0.393,0.544,2.075,137.817,-33.569
0.711,-0.408,0.507,2.686,140.32,-33.081
0.72,-0.408,0.476,2.258,143.86,-33.142
0.718,-0.406,0.424,1.77,148.682,-34.607
0.742,-0.413,0.377,1.587,151.489,-35.767
0.783,-0.432,0.334,1.16,150.391,-35.095
0.805,-0.449,0.303,-0.488,145.386,-33.752
0.816,-0.461,0.275,-2.808,138.0,-32.227
0.797,-0.478,0.293,-6.165,132.324,-31.006
0.746,-0.451,0.341,-10.01,132.019,-30.945
0.769,-0.412,0.364,-12.878,133.789,-31.311
0.819,-0.429,0.372,-14.648,132.935,-30.396
0.806,-0.471,0.359,-15.625,128.601,-29.114
0.787,-0.493,0.327,-16.602,124.207,-27.954
0.834,-0.5,0.278,-18.555,121.155,-26.855
0.9,-0.516,0.227,-21.057,118.896,-26.55
0.951,-0.535,0.179,-23.987,115.54,-25.635
0.979,-0.526,0.147,-27.893,109.436,-24.353
0.98,-0.497,0.143,-31.555,101.257,-24.048
0.973,-0.472,0.206,-34.18,91.675,-23.376
0.961,-0.459,0.266,-35.767,81.055,-21.851
0.901,-0.456,0.293,-35.522,70.984,-21.301
0.841,-0.467,0.306,-34.119,61.584,-21.606
0.769,-0.49,0.299,-33.997,56.152,-21.484
0.672,-0.498,0.285,-34.729,59.692,-22.705
0.659,-0.483,0.256,-35.156,70.801,-23.621
0.694,-0.483,0.213,-35.217,84.778,-22.4
0.734,-0.502,0.14,-34.912,96.069,-20.081
0.781,-0.513,0.086,-36.194,102.783,-16.907
0.875,-0.478,0.109,-38.513,105.347,-13.855
0.938,-0.445,0.146,-39.49,104.248,-11.536
0.924,-0.468,0.149,-38.757,97.595,-10.254
0.92,-0.499,0.155,-38.391,86.243,-9.521
0.916,-0.513,0.144,-38.94,74.219,-9.277
0.862,-0.519,0.132,-39.49,64.514,-10.559
0.825,-0.522,0.136,-40.405,58.96,-11.23
0.786,-0.562,0.114,-40.771,57.739,-11.169
0.747,-0.584,0.044,-42.908,61.829,-10.986
0.775,-0.565,0.025,-46.021,69.336,-10.681
0.816,-0.519,0.085,-48.889,77.026,-8.606
0.877,-0.485,0.145,-49.866,82.397,-5.493
0.904,-0.486,0.153,-49.988,84.9,-3.174
0.896,-0.508,0.129,-50.049,83.191,-2.563
0.874,-0.527,0.094,-51.025,78.552,-1.831
0.851,-0.53,0.059,-52.429,74.341,-1.587
0.848,-0.519,0.033,-54.626,73.608,-1.526
0.873,-0.514,-0.038,-57.373,77.332,-1.343
0.89,-0.505,-0.068,-60.669,82.397,-0.977
0.879,-0.497,-0.083,-63.843,88.135,1.404
0.877,-0.478,-0.058,-66.101,92.529,5.371
0.87,-0.454,0.007,-68.359,95.215,8.057
0.85,-0.427,0.077,-69.702,96.252,8.972
0.886,-0.414,0.119,-69.092,94.788,10.132
0.912,-0.416,0.122,-67.749,91.919,11.536
0.902,-0.438,0.088,-66.223,87.891,12.085
0.873,-0.462,0.042,-65.613,84.961,12.146
0.844,-0.465,0.008,-65.43,83.496,13.367
0.836,-0.459,-0.009,-65.491,83.862,15.564
0.843,-0.455,-0.002,-65.735,86.304,17.7
0.889,-0.42,0.059,-65.369,88.623,19.897
0.934,-0.384,0.127,-63.293,88.562,21.545
0.965,-0.387,0.163,-58.716,83.801,21.729
0.959,-0.405,0.172,-53.589,74.219,20.691
0.952,-0.412,0.167,-48.889,60.059,18.433
0.976,-0.414,0.154,-45.044,43.945,16.785
0.991,-0.427,0.11,-41.26,29.907,15.564
1.025,-0.431,0.068,-38.025,19.836,15.015
1.046,-0.433,0.026,-35.095,11.475,15.686
1.036,-0.45,0.022,-33.02,3.052,16.785
0.992,-0.468,0.027,-31.677,-3.906,17.212
0.953,-0.474,0.022,-31.128,-7.324,16.724
0.914,-0.461,0.013,-31.433,-7.385,16.174
0.906,-0.447,-0.002,-32.166,-4.333,15.137
0.921,-0.446,-0.013,-32.166,1.648,13.55
0.934,-0.45,-0.021,-32.349,7.874,12.817
0.937,-0.445,-0.032,-32.593,11.047,12.512
0.99,-0.44,-0.027,-31.982,7.935,12.146
1.036,-0.44,-0.001,-30.396,-1.099,11.658
1.069,-0.451,0.031,-28.748,-15.32,10.681
1.062,-0.469,0.059,-27.405,-33.142,9.46
1.012,-0.474,0.084,-26.733,-50.537,8.179
0.936,-0.476,0.093,-26.672,-64.209,7.507
0.836,-0.479,0.084,-27.344,-70.984,8.057
0.757,-0.474,0.065,-29.358,-68.97,9.888
0.751,-0.456,0.049,-30.64,-58.228,12.451
0.821,-0.436,0.042,-31.555,-42.419,14.526
0.881,-0.438,0.042,-31.616,-26.978,15.625
0.94,-0.445,0.05,-31.189,-17.639,15.442
0.983,-0.449,0.057,-30.151,-16.602,13.916
0.992,-0.45,0.069,-28.87,-22.949,10.742
0.994,-0.442,0.088,-27.771,-33.508,7.019
0.985,-0.431,0.117,-26.489,-45.776,5.005
0.981,-0.422,0.153,-25.696,-55.847,4.883
0.953,-0.408,0.2,-25.635,-61.829,6.165
0.927,-0.408,0.225,-25.085,-63.293,7.69
0.913,-0.419,0.216,-24.78,-60.852,9.216
0.885,-0.429,0.183,-25.513,-55.481,10.376
0.887,-0.422,0.155,-26.489,-48.889,11.353
0.911,-0.406,0.137,-26.978,-42.297,11.963
0.908,-0.402,0.146,-27.161,-37.415,11.475
0.897,-0.397,0.16,-26.489,-33.386,10.315
0.893,-0.381,0.193,-25.818,-30.457,8.484
0.89,-0.381,0.204,-24.475,-29.297,6.47
0.918,-0.377,0.171,-23.254,-30.762,4.944
0.999,-0.356,0.208,-22.705,-37.476,4.395
0.992,-0.326,0.251,-22.644,-47.607,5.371
0.993,-0.315,0.309,-20.63,-57.007,5.737
1.005,-0.337,0.339,-19.104,-64.392,6.287
0.991,-0.356,0.349,-18.738,-67.566,7.996
0.969,-0.356,0.34,-19.409,-65.43,10.01
0.931,-0.349,0.314,-19.775,-58.594,11.963
0.936,-0.34,0.293,-19.165,-49.072,13.55
0.923,-0.346,0.294,-18.188,-39.185,14.404
0.899,-0.352,0.291,-17.761,-29.968,14.832
0.871,-0.356,0.271,-17.456,-21.606,14.16
0.856,-0.355,0.251,-17.7,-14.343,13.184
0.869,-0.346,0.249,-17.822,-8.24,12.085
0.889,-0.339,0.249,-16.968,-4.639,11.475
0.924,-0.344,0.258,-15.869,-5.31,11.414
0.937,-0.359,0.274,-15.198,-9.094,11.169
0.92,-0.354,0.279,-15.808,-12.573,10.681
0.883,-0.349,0.266,-16.724,-13.428,10.132
0.834,-0.345,0.259,-17.944,-8.118,9.705
0.79,-0.337,0.24,-19.043,3.845,9.949
0.811,-0.329,0.233,-19.165,18.433,10.437
0.817,-0.334,0.242,-19.409,31.86,10.437
0.828,-0.329,0.262,-20.02,42.664,9.46
0.847,-0.302,0.292,-20.752,51.086,7.202
0.851,-0.273,0.3,-21.057,58.044,4.028
0.898,-0.258,0.285,-20.569,62.561,0.671
0.966,-0.262,0.275,-19.958,63.538,-2.136
