aX,aY,aZ,gX,gY,gZ
0.844,-0.543,-0.085,-14.221,32.898,2.502
0.812,-0.568,-0.137,-7.446,16.785,-1.648
0.79,-0.591,-0.191,-1.648,-3.113,-2.38
0.737,-0.594,-0.268,2.747,-24.048,-2.93
0.673,-0.61,-0.393,5.798,-39.795,-4.456
0.713,-0.649,-0.502,8.118,-46.265,-6.958
0.77,-0.712,-0.57,9.583,-47.424,-9.583
0.682,-0.743,-0.558,9.949,-45.715,-13.733
0.496,-0.721,-0.528,10.62,-36.011,-18.616
0.478,-0.693,-0.517,13.245,-18.005,-22.888
0.495,-0.711,-0.509,15.381,-0.732,-26.672
0.435,-0.72,-0.5,16.113,8.118,-28.564
0.317,-0.719,-0.516,16.174,8.911,-28.687
0.203,-0.711,-0.545,15.686,6.47,-27.893
0.161,-0.707,-0.544,15.198,3.723,-25.024
0.205,-0.716,-0.527,14.709,-2.075,-20.569
0.229,-0.711,-0.493,13.977,-13.062,-16.296
0.263,-0.713,-0.467,14.465,-25.574,-12.024
0.362,-0.716,-0.473,15.686,-34.058,-8.789
0.467,-0.732,-0.482,17.578,-36.926,-7.812
0.563,-0.747,-0.472,20.935,-35.156,-9.338
0.613,-0.766,-0.52,25.146,-29.114,-13.184
0.561,-0.751,-0.582,28.564,-20.752,-18.677
0.5,-0.725,-0.616,30.64,-11.475,-23.56
0.432,-0.701,-0.636,31.494,-3.235,-27.588
0.314,-0.692,-0.643,31.372,1.465,-29.968
0.248,-0.674,-0.685,30.518,2.991,-29.236
0.146,-0.691,-0.735,28.625,0.854,-25.391
0.111,-0.67,-0.782,24.841,-2.686,-20.325
0.08,-0.685,-0.86,20.02,-6.042,-13.733
0.097,-0.723,-0.942,14.343,-5.859,-7.019
0.118,-0.762,-0.983,8.484,-1.526,-0.61
0.153,-0.782,-0.969,2.808,6.47,4.761
0.241,-0.773,-0.915,-2.502,16.663,8.057
0.324,-0.753,-0.833,-7.019,25.33,10.01
0.363,-0.708,-0.783,-11.353,28.564,12.085
0.269,-0.741,-0.777,-15.808,25.818,17.334
0.176,-0.784,-0.778,-19.714,20.447,25.085
0.217,-0.759,-0.777,-23.132,16.724,32.043
0.272,-0.764,-0.835,-27.71,11.23,38.818
0.188,-0.897,-0.9,-32.593,-0.427,45.715
0.22,-0.878,-0.905,-39.063,-11.841,50.537
0.315,-0.838,-0.797,-45.593,-17.456,53.772
0.51,-0.71,-0.688,-49.866,-12.085,52.673
0.574,-0.699,-0.612,-50.232,-1.648,50.171
0.576,-0.721,-0.521,-47.791,8.911,47.119
0.675,-0.692,-0.359,-43.762,24.841,41.87
0.82,-0.582,-0.211,-38.818,46.021,32.959
0.88,-0.567,-0.145,-31.006,61.34,22.278
0.882,-0.579,-0.112,-22.156,65.186,12.146
0.881,-0.578,-0.104,-14.648,61.34,4.15
0.867,-0.589,-0.122,-7.751,50.842,-0.977
0.81,-0.608,-0.169,-1.221,34.546,-4.944
0.757,-0.607,-0.237,3.662,15.137,-8.118
0.712,-0.617,-0.321,6.958,-3.906,-9.827
0.646,-0.635,-0.399,9.155,-22.217,-10.071
0.592,-0.647,-0.482,10.559,-36.926,-9.399
0.597,-0.674,-0.555,11.292,-43.701,-8.667
0.657,-0.686,-0.61,11.169,-42.725,-9.155
0.666,-0.702,-0.621,10.559,-40.039,-10.803
0.593,-0.702,-0.599,10.437,-35.828,-13.794
0.542,-0.698,-0.579,10.254,-28.381,-17.395
0.413,-0.701,-0.564,9.888,-20.508,-19.165
0.324,-0.678,-0.552,10.498,-10.925,-18.677
0.291,-0.685,-0.543,11.597,-1.465,-16.663
0.279,-0.687,-0.536,12.634,4.517,-14.404
0.297,-0.702,-0.522,13.672,5.859,-12.756
0.357,-0.703,-0.508,14.648,3.113,-11.841
0.443,-0.706,-0.498,15.93,-3.723,-11.292
0.48,-0.706,-0.481,17.273,-14.282,-12.451
0.466,-0.698,-0.479,18.372,-26.428,-13.55
0.491,-0.693,-0.499,20.386,-34.729,-15.015
0.524,-0.705,-0.519,23.071,-37.109,-17.029
0.521,-0.709,-0.537,26.306,-34.302,-19.714
0.468,-0.716,-0.569,29.175,-27.832,-23.621
0.436,-0.718,-0.594,31.921,-19.836,-27.405
0.413,-0.703,-0.624,33.02,-12.207,-30.029
0.341,-0.701,-0.649,32.776,-9.216,-30.64
0.28,-0.69,-0.661,31.799,-9.766,-29.358
0.234,-0.685,-0.66,30.029,-11.78,-26.123
0.145,-0.687,-0.679,27.71,-14.099,-21.79
0.057,-0.688,-0.706,24.231,-13.672,-16.052
0.045,-0.696,-0.761,20.02,-11.292,-8.423
0.085,-0.705,-0.867,14.893,-7.935,0.244
0.205,-0.72,-0.945,8.85,-4.333,9.216
0.288,-0.745,-0.953,2.258,-0.061,16.357
0.333,-0.755,-0.916,-4.211,7.935,19.897
0.369,-0.74,-0.84,-9.521,21.118,20.264
0.395,-0.719,-0.765,-12.756,36.255,20.081
0.416,-0.725,-0.734,-13.794,49.011,21.301
0.352,-0.778,-0.739,-14.038,54.565,24.719
0.298,-0.796,-0.744,-15.32,53.467,28.442
0.249,-0.791,-0.779,-18.433,47.119,32.654
0.164,-0.824,-0.816,-23.132,34.729,38.574
0.12,-0.853,-0.851,-28.687,20.813,45.715
0.239,-0.804,-0.869,-35.339,10.132,53.162
0.374,-0.792,-0.828,-42.175,3.296,59.143
0.475,-0.722,-0.721,-46.997,3.662,60.181
0.624,-0.624,-0.628,-47.974,16.235,56.58
0.69,-0.69,-0.574,-45.41,31.86,51.147
0.7,-0.713,-0.57,-43.274,41.992,46.021
0.701,-0.745,-0.516,-41.992,45.532,40.771
0.737,-0.715,-0.367,-41.382,46.753,32.837
0.849,-0.565,-0.15,-37.17,53.406,20.386
0.949,-0.555,0.043,-27.649,62.073,7.08
0.981,-0.563,0.183,-14.404,62.073,-3.967
0.993,-0.533,0.161,-2.014,48.157,-12.329
0.802,-0.541,-0.068,7.141,20.325,-15.137
0.626,-0.578,-0.322,14.404,-4.639,-15.991
0.606,-0.587,-0.494,18.494,-19.958,-15.686
0.698,-0.599,-0.619,19.287,-32.532,-14.282
0.8,-0.607,-0.685,17.883,-46.753,-14.343
0.857,-0.591,-0.726,15.381,-57.922,-17.7
0.805,-0.589,-0.71,13.306,-62.134,-23.071
0.726,-0.617,-0.632,12.573,-57.556,-29.846
0.629,-0.618,-0.589,13.367,-48.157,-34.607
0.546,-0.65,-0.572,15.442,-37.048,-39.124
0.465,-0.692,-0.57,16.968,-26.184,-41.931
0.39,-0.722,-0.547,18.188,-17.761,-43.335
0.342,-0.726,-0.559,19.47,-12.817,-44.128
0.324,-0.731,-0.575,20.447,-11.597,-44.25
0.145,-0.741,-0.585,19.531,-15.015,-42.297
0.042,-0.692,-0.572,19.104,-21.301,-36.377
0.089,-0.676,-0.519,19.531,-25.879,-29.48
0.161,-0.659,-0.454,19.897,-32.593,-22.4
0.277,-0.656,-0.416,21.24,-40.222,-16.724
0.434,-0.68,-0.424,24.17,-44.25,-13.489
0.492,-0.711,-0.478,27.405,-44.556,-13.733
0.498,-0.741,-0.554,30.212,-41.26,-15.808
0.51,-0.744,-0.623,32.532,-33.997,-18.921
0.435,-0.738,-0.664,33.508,-25.757,-22.339
0.345,-0.702,-0.691,33.264,-17.761,-24.048
0.266,-0.697,-0.707,32.41,-11.353,-23.437
0.239,-0.698,-0.737,30.64,-6.226,-21.362
0.235,-0.706,-0.792,27.527,-4.211,-17.517
0.205,-0.711,-0.834,23.071,-4.028,-13.306
0.149,-0.682,-0.852,17.395,-2.869,-8.728
0.141,-0.683,-0.89,11.78,0.427,-3.784
0.187,-0.713,-0.923,6.653,5.554,-0.183
0.242,-0.746,-0.922,1.77,10.498,3.967
0.249,-0.759,-0.881,-3.418,15.32,7.202
0.278,-0.755,-0.812,-7.751,23.132,8.545
0.323,-0.762,-0.752,-10.681,31.86,9.155
0.323,-0.775,-0.711,-12.634,37.048,11.414
0.285,-0.798,-0.681,-14.282,39.49,15.198
0.287,-0.804,-0.681,-15.869,40.71,19.653
0.301,-0.797,-0.7,-18.127,38.635,23.499
0.329,-0.791,-0.747,-21.973,32.349,26.001
0.301,-0.803,-0.82,-26.855,22.156,29.358
0.276,-0.805,-0.889,-32.776,10.62,34.607
0.28,-0.791,-0.869,-39.001,3.479,39.001
0.422,-0.714,-0.842,-44.8,3.418,41.26
0.464,-0.773,-0.723,-48.828,2.869,42.358
0.585,-0.644,-0.545,-50.903,8.911,39.246
0.65,-0.613,-0.46,-49.133,22.217,34.119
0.677,-0.643,-0.432,-44.8,32.104,27.771
0.719,-0.65,-0.391,-40.527,36.987,21.301
0.795,-0.625,-0.333,-36.865,37.17,15.137
0.822,-0.603,-0.299,-32.349,31.86,7.812
0.774,-0.594,-0.3,-26.855,20.081,0.916
0.723,-0.612,-0.302,-21.606,5.554,-3.235
0.731,-0.604,-0.266,-17.212,-9.827,-4.761
0.677,-0.604,-0.255,-12.634,-26.794,-5.249
0.64,-0.608,-0.305,-7.69,-40.283,-6.653
0.688,-0.631,-0.381,-3.418,-46.997,-7.935
0.744,-0.654,-0.455,-0.366,-50.049,-9.46
0.754,-0.688,-0.462,1.709,-51.147,-13.367
0.677,-0.706,-0.453,3.418,-47.119,-17.822
0.633,-0.699,-0.457,5.92,-37.17,-22.705
0.621,-0.71,-0.445,8.362,-23.437,-28.015
0.563,-0.73,-0.421,10.498,-11.78,-32.898
0.449,-0.747,-0.398,12.207,-5.371,-35.645
0.356,-0.753,-0.411,13.977,-3.967,-35.4
0.264,-0.756,-0.426,15.015,-6.042,-33.447
0.128,-0.759,-0.423,15.808,-11.658,-30.151
0.064,-0.734,-0.419,15.93,-17.822,-25.269
0.09,-0.729,-0.42,16.357,-23.621,-18.677
0.205,-0.733,-0.442,17.09,-28.992,-11.475
0.357,-0.742,-0.448,18.066,-33.569,-6.042
0.51,-0.748,-0.45,19.531,-36.255,-3.906
0.596,-0.753,-0.449,22.217,-36.865,-5.432
0.635,-0.762,-0.469,25.635,-33.569,-9.827
0.606,-0.773,-0.494,28.809,-27.222,-15.686
0.533,-0.777,-0.541,31.616,-19.836,-21.667
0.437,-0.77,-0.589,33.508,-11.963,-26.672
0.341,-0.76,-0.655,33.936,-5.615,-29.48
0.224,-0.736,-0.679,32.715,-3.235,-29.663
0.167,-0.724,-0.688,30.151,-3.662,-26.978
0.165,-0.708,-0.706,27.222,-6.165,-22.156
0.16,-0.699,-0.731,23.437,-10.071,-16.541
0.156,-0.7,-0.777,18.921,-13.611,-10.559
0.148,-0.724,-0.832,14.16,-14.343,-4.578
0.118,-0.759,-0.856,9.094,-10.254,0.549
0.157,-0.787,-0.86,4.15,-2.563,6.165
0.222,-0.806,-0.861,-0.366,6.042,11.902
0.288,-0.809,-0.837,-5.31,14.648,16.296
0.344,-0.776,-0.786,-10.071,24.17,18.921
0.365,-0.761,-0.719,-13.184,35.583,19.775
0.356,-0.781,-0.674,-15.259,44.128,21.24
0.323,-0.803,-0.646,-16.907,46.997,23.376
0.351,-0.77,-0.659,-19.165,46.204,25.146
0.402,-0.753,-0.686,-22.156,41.809,26.428
0.388,-0.771,-0.741,-26.001,33.325,28.625
0.381,-0.771,-0.791,-29.48,23.865,31.982
0.376,-0.788,-0.804,-33.386,14.16,36.987
0.409,-0.751,-0.758,-37.415,6.409,40.039
0.475,-0.71,-0.667,-40.771,4.028,41.199
0.562,-0.672,-0.551,-42.053,6.775,40.71
0.635,-0.65,-0.436,-40.71,12.573,38.879
0.644,-0.627,-0.376,-37.048,18.188,35.767
0.64,-0.631,-0.376,-32.715,20.447,32.654
0.649,-0.653,-0.365,-28.87,20.386,29.419
0.712,-0.646,-0.352,-26.123,17.578,25.391
0.757,-0.637,-0.342,-23.499,10.498,20.569
0.772,-0.634,-0.329,-20.508,1.038,15.564
0.768,-0.654,-0.298,-16.785,-9.094,10.803
0.752,-0.667,-0.256,-12.512,-17.822,6.531
0.704,-0.67,-0.254,-7.385,-23.682,2.319
0.668,-0.68,-0.285,-1.892,-24.536,-1.526
0.685,-0.7,-0.304,3.113,-22.339,-4.883
0.696,-0.712,-0.319,7.935,-18.738,-8.85
0.697,-0.725,-0.348,12.024,-15.076,-13.733
0.678,-0.733,-0.383,15.32,-12.451,-18.86
0.654,-0.746,-0.421,17.578,-9.155,-23.56
0.618,-0.763,-0.448,19.287,-7.324,-27.649
0.516,-0.759,-0.46,19.653,-9.277,-30.396
0.43,-0.738,-0.489,19.653,-12.756,-31.799
0.367,-0.739,-0.509,19.592,-16.785,-31.189
0.295,-0.734,-0.5,19.043,-21.423,-28.992
0.253,-0.713,-0.488,18.799,-26.001,-25.696
0.284,-0.703,-0.466,19.592,-30.09,-21.79
0.353,-0.706,-0.434,20.386,-33.447,-17.761
0.438,-0.71,-0.398,22.339,-36.377,-15.442
0.525,-0.724,-0.418,24.719,-38.635,-14.404
0.571,-0.739,-0.477,27.1,-38.757,-15.259
0.579,-0.755,-0.528,28.748,-36.743,-17.334
0.531,-0.764,-0.591,30.029,-33.02,-19.958
0.436,-0.758,-0.62,30.334,-27.039,-22.461
0.374,-0.74,-0.643,30.212,-18.616,-23.926
0.3,-0.734,-0.658,29.236,-11.047,-23.499
0.265,-0.719,-0.674,27.405,-6.592,-21.545
0.244,-0.697,-0.701,24.963,-5.615,-17.761
0.223,-0.69,-0.741,21.362,-7.019,-13.489
0.2,-0.698,-0.81,17.029,-7.507,-8.789
0.215,-0.71,-0.869,12.512,-5.432,-4.395
0.225,-0.727,-0.878,7.202,-2.441,-0.732
0.213,-0.745,-0.864,1.892,1.099,3.052
0.233,-0.758,-0.834,-2.686,6.897,6.714
0.28,-0.771,-0.786,-6.653,15.991,9.521
0.342,-0.771,-0.722,-10.132,25.146,11.414
0.371,-0.766,-0.68,-12.451,31.677,13.428
0.325,-0.8,-0.683,-14.954,33.569,16.663
0.272,-0.848,-0.695,-17.761,31.128,21.301
0.276,-0.829,-0.697,-21.423,26.611,25.879
0.332,-0.79,-0.704,-26.245,21.851,29.175
0.366,-0.774,-0.734,-31.067,16.296,32.41
0.334,-0.817,-0.774,-36.011,7.812,36.499
0.298,-0.813,-0.771,-41.016,-1.587,41.138
0.345,-0.764,-0.761,-46.692,-5.859,44.8
0.441,-0.767,-0.686,-51.147,-3.967,46.814
0.618,-0.675,-0.528,-53.528,7.019,45.044
0.754,-0.605,-0.418,-52.063,24.902,40.527
0.736,-0.647,-0.387,-47.546,37.659,34.607
0.704,-0.687,-0.352,-42.847,42.236,29.175
0.736,-0.663,-0.256,-39.429,43.396,24.231
0.793,-0.6,-0.16,-35.034,44.495,17.7
0.787,-0.589,-0.121,-27.832,42.053,11.414
0.75,-0.594,-0.132,-19.409,35.95,6.165
0.725,-0.611,-0.147,-12.268,27.039,2.869
0.703,-0.616,-0.174,-6.226,14.587,2.014
0.659,-0.62,-0.239,-0.977,1.282,2.075
0.655,-0.638,-0.313,3.174,-9.827,2.197
0.701,-0.652,-0.374,5.615,-17.883,1.953
0.762,-0.669,-0.427,7.202,-23.865,0.671
0.825,-0.698,-0.484,8.484,-30.273,-1.587
0.859,-0.746,-0.512,8.972,-36.194,-6.104
0.731,-0.789,-0.479,8.118,-38.574,-11.719
0.522,-0.791,-0.416,8.24,-32.898,-16.907
0.446,-0.761,-0.422,10.803,-17.822,-20.508
0.466,-0.765,-0.433,14.16,-0.916,-23.743
0.42,-0.783,-0.404,15.442,8.484,-24.536
0.323,-0.774,-0.405,15.991,9.583,-23.499
0.262,-0.754,-0.418,16.724,7.202,-22.827
0.184,-0.744,-0.403,17.456,3.418,-20.935
0.206,-0.719,-0.39,19.043,-1.099,-18.066
0.3,-0.716,-0.372,20.691,-7.019,-14.099
0.417,-0.737,-0.38,22.156,-17.212,-10.376
0.492,-0.758,-0.407,23.071,-28.259,-8.545
0.552,-0.783,-0.432,24.658,-34.729,-9.033
0.629,-0.808,-0.448,27.1,-33.875,-11.414
0.697,-0.831,-0.465,30.701,-26.55,-15.808
0.712,-0.793,-0.445,33.386,-17.273,-22.4
0.622,-0.736,-0.452,35.645,-9.094,-28.87
0.488,-0.727,-0.467,37.72,-4.517,-34.363
0.421,-0.696,-0.523,38.391,-1.16,-38.147
0.36,-0.679,-0.602,37.537,0.0,-38.269
0.244,-0.682,-0.677,34.973,-2.258,-35.278
0.204,-0.697,-0.785,30.945,-5.31,-30.64
0.177,-0.733,-0.893,25.33,-6.897,-24.292
0.137,-0.784,-0.998,18.311,-7.629,-17.212
0.181,-0.797,-1.063,10.01,-6.165,-9.705
0.224,-0.832,-1.036,0.916,-3.357,-3.174
0.243,-0.83,-0.956,-7.629,1.099,0.732
0.291,-0.77,-0.838,-15.259,8.911,3.54
0.307,-0.755,-0.74,-20.691,17.151,7.629
0.276,-0.771,-0.654,-23.804,21.301,13.611
0.279,-0.754,-0.63,-26.245,22.949,19.836
0.282,-0.771,-0.647,-28.503,20.996,25.635
0.29,-0.787,-0.692,-31.189,16.602,30.029
0.274,-0.832,-0.72,-34.546,10.01,33.997
0.294,-0.805,-0.681,-37.292,5.371,36.987
0.382,-0.74,-0.648,-39.856,5.554,38.574
0.384,-0.775,-0.614,-41.077,4.883,39.856
0.405,-0.708,-0.53,-41.199,7.812,39.063
0.553,-0.638,-0.422,-38.879,20.569,37.415
0.686,-0.635,-0.351,-34.058,33.936,34.729
0.722,-0.669,-0.33,-29.114,38.879,30.762
0.736,-0.646,-0.297,-26.001,37.781,26.245
0.755,-0.625,-0.254,-23.01,34.546,20.935
0.753,-0.639,-0.227,-18.555,28.992,14.587
0.751,-0.641,-0.217,-13.611,21.667,8.179
0.738,-0.647,-0.215,-8.362,13.062,3.784
0.694,-0.654,-0.249,-3.479,2.869,0.366
0.651,-0.659,-0.302,0.549,-7.812,-1.953
0.661,-0.657,-0.323,3.479,-17.883,-3.113
0.677,-0.665,-0.335,6.165,-25.391,-4.272
0.659,-0.68,-0.35,8.728,-30.518,-5.737
0.645,-0.693,-0.357,11.23,-32.532,-7.69
0.625,-0.706,-0.381,13.672,-30.212,-9.644
0.614,-0.733,-0.425,16.479,-24.841,-12.329
0.617,-0.754,-0.443,19.104,-17.639,-15.747
0.59,-0.761,-0.467,21.179,-9.644,-19.226
0.581,-0.77,-0.481,22.949,-2.258,-23.376
0.568,-0.787,-0.47,23.499,3.052,-27.1
0.481,-0.778,-0.465,23.01,3.906,-30.09
0.349,-0.753,-0.477,21.851,0.488,-31.006
0.287,-0.727,-0.478,20.996,-2.38,-30.151
0.247,-0.717,-0.461,20.874,-4.639,-27.466
0.194,-0.713,-0.445,21.057,-9.155,-23.193
0.219,-0.714,-0.459,22.095,-14.404,-17.517
0.319,-0.724,-0.484,23.315,-18.188,-12.573
0.429,-0.74,-0.494,24.353,-21.24,-9.094
0.548,-0.757,-0.529,26.184,-22.949,-7.874
0.598,-0.76,-0.552,27.283,-21.79,-9.766
0.581,-0.774,-0.574,27.771,-19.104,-13.245
0.548,-0.78,-0.598,27.832,-15.076,-16.968
0.498,-0.782,-0.596,27.771,-10.498,-20.264
0.439,-0.767,-0.583,27.161,-7.69,-22.034
0.305,-0.762,-0.59,26.733,-7.08,-22.522
0.208,-0.751,-0.59,25.269,-6.714,-21.362
0.204,-0.755,-0.628,23.926,-6.531,-18.005
0.213,-0.766,-0.696,21.606,-8.057,-13.367
0.201,-0.773,-0.779,17.395,-9.644,-8.118
0.206,-0.783,-0.836,12.207,-7.568,-3.235
0.236,-0.814,-0.869,7.141,-0.244,0.122
0.274,-0.824,-0.872,1.892,9.583,2.991
0.303,-0.807,-0.845,-3.296,21.423,5.371
0.346,-0.774,-0.794,-8.24,34.79,6.653
0.378,-0.78,-0.749,-12.085,44.434,8.057
0.355,-0.77,-0.724,-16.052,47.852,10.803
0.31,-0.774,-0.722,-20.264,45.288,15.015
0.303,-0.786,-0.755,-25.269,38.879,20.447
0.311,-0.802,-0.793,-30.396,30.701,25.94
0.336,-0.804,-0.812,-36.194,21.179,31.677
0.349,-0.801,-0.811,-42.053,11.108,37.537
0.357,-0.807,-0.775,-47.241,1.892,42.358
0.444,-0.732,-0.685,-50.903,-1.404,44.189
0.561,-0.674,-0.616,-52.612,1.465,43.823
0.577,-0.71,-0.531,-51.697,3.54,42.358
0.57,-0.687,-0.419,-49.255,9.094,38.452
0.62,-0.624,-0.32,-44.25,23.804,32.654
0.693,-0.645,-0.271,-36.987,39.368,27.1
0.732,-0.675,-0.216,-29.785,44.495,20.874
0.773,-0.632,-0.132,-24.231,40.405,14.099
0.787,-0.604,-0.08,-18.494,30.64,7.874
0.732,-0.616,-0.105,-12.085,15.503,2.869
0.68,-0.652,-0.16,-6.165,-2.441,0.916
0.661,-0.682,-0.177,-0.61,-19.104,1.343
0.642,-0.689,-0.197,4.089,-31.555,0.549
0.675,-0.683,-0.254,8.728,-38.208,-0.793
0.74,-0.698,-0.312,13.062,-38.94,-3.418
0.744,-0.723,-0.339,16.724,-36.133,-7.812
0.716,-0.73,-0.364,19.836,-30.334,-13.245
0.686,-0.754,-0.393,23.621,-23.071,-18.311
