aX,aY,aZ,gX,gY,gZ
0.822,-0.696,-0.011,-22.705,-1.038,18.311
0.737,-0.712,-0.018,-26.733,-21.973,20.142
0.693,-0.667,0.064,-30.884,-33.325,20.081
0.697,-0.664,0.154,-32.349,-33.997,18.066
0.728,-0.645,0.264,-32.471,-26.978,17.212
0.755,-0.67,0.372,-31.494,-14.038,16.052
0.813,-0.705,0.507,-28.503,0.549,14.038
0.821,-0.705,0.629,-23.437,11.292,11.536
0.844,-0.699,0.633,-17.273,14.343,9.277
0.812,-0.735,0.563,-12.085,12.817,6.897
0.708,-0.732,0.503,-10.62,13.367,3.54
0.712,-0.717,0.453,-10.315,19.165,-0.183
0.687,-0.709,0.433,-10.071,28.015,-3.54
0.733,-0.738,0.43,-9.766,34.424,-6.775
0.852,-0.783,0.436,-8.911,34.668,-9.033
0.86,-0.81,0.496,-9.094,27.649,-11.169
0.798,-0.841,0.603,-8.423,14.709,-14.221
0.726,-0.832,0.713,-5.859,0.427,-17.7
0.613,-0.819,0.793,-1.404,-11.658,-22.4
0.516,-0.83,0.845,4.883,-18.188,-26.184
0.53,-0.847,0.827,13.062,-18.738,-29.114
0.491,-0.857,0.749,21.484,-16.968,-30.762
0.515,-0.877,0.647,28.992,-16.846,-29.907
0.262,-0.872,0.659,34.485,-18.921,-28.198
0.285,-0.792,0.566,37.476,-15.137,-25.818
0.223,-0.8,0.524,42.786,-0.549,-28.015
0.131,-0.745,0.533,44.739,15.503,-25.696
0.139,-0.679,0.503,48.157,30.579,-18.433
0.209,-0.664,0.439,53.711,42.419,-13.794
0.343,-0.679,0.316,57.007,43.579,-7.507
0.419,-0.7,0.171,57.8,32.349,-1.648
0.492,-0.731,0.027,55.603,11.169,4.272
0.564,-0.75,-0.134,49.927,-13.062,11.047
0.531,-0.692,-0.16,40.283,-36.011,15.503
0.454,-0.614,-0.078,30.029,-53.467,18.921
0.484,-0.654,-0.07,22.705,-62.744,23.621
0.552,-0.632,-0.116,15.625,-61.768,27.954
0.778,-0.483,-0.039,7.751,-48.767,28.87
0.998,-0.381,0.074,3.54,-25.574,23.743
1.031,-0.504,0.058,3.052,-5.615,18.616
0.859,-0.613,-0.026,1.221,6.531,18.372
0.842,-0.647,-0.096,-2.258,22.522,17.151
0.849,-0.653,-0.121,-6.592,38.025,15.076
0.733,-0.679,-0.139,-12.329,41.626,17.456
0.595,-0.68,-0.163,-19.165,38.269,22.461
0.6,-0.66,-0.17,-25.146,34.79,27.1
0.724,-0.671,-0.128,-29.236,28.748,30.884
0.793,-0.708,-0.048,-33.264,15.93,33.752
0.743,-0.736,-0.03,-35.645,-0.305,36.499
0.791,-0.698,0.089,-37.964,-11.841,36.682
0.827,-0.689,0.217,-40.1,-12.634,32.959
0.862,-0.66,0.309,-40.344,-6.714,30.273
0.874,-0.677,0.44,-39.246,3.052,27.161
